Index: 17, Salutary Label: 7, Ground Truth: 7, Influence Score: -0.08879879862070084
Index: 26, Salutary Label: 6, Ground Truth: 6, Influence Score: 464057.875
Index: 31, Salutary Label: 1, Ground Truth: 1, Influence Score: 849.63427734375
Index: 47, Salutary Label: 7, Ground Truth: 7, Influence Score: 23.313827514648438
Index: 58, Salutary Label: 8, Ground Truth: 8, Influence Score: 347471.25
Index: 79, Salutary Label: 9, Ground Truth: 9, Influence Score: 66.04435729980469
Index: 135, Salutary Label: 5, Ground Truth: 5, Influence Score: 304549.09375
Index: 199, Salutary Label: 9, Ground Truth: 9, Influence Score: 16309.5
Index: 201, Salutary Label: 1, Ground Truth: 1, Influence Score: 172442.40625
Index: 214, Salutary Label: 4, Ground Truth: 7, Influence Score: 1387355.0
Index: 249, Salutary Label: 9, Ground Truth: 9, Influence Score: 24106.30859375
Index: 288, Salutary Label: 8, Ground Truth: 8, Influence Score: 33286.5
Index: 317, Salutary Label: 7, Ground Truth: 7, Influence Score: 19339.140625
Index: 367, Salutary Label: 7, Ground Truth: 7, Influence Score: 2057.69775390625
Index: 372, Salutary Label: 2, Ground Truth: 2, Influence Score: 1712414.5
Index: 398, Salutary Label: 8, Ground Truth: 8, Influence Score: 818.2868041992188
Index: 440, Salutary Label: 0, Ground Truth: 0, Influence Score: 242603.703125
Index: 468, Salutary Label: 8, Ground Truth: 8, Influence Score: 306.3235778808594
Index: 489, Salutary Label: 9, Ground Truth: 9, Influence Score: 835.176513671875
Index: 498, Salutary Label: 8, Ground Truth: 8, Influence Score: 769.4639892578125
Index: 515, Salutary Label: 5, Ground Truth: 3, Influence Score: 1832802.75
Index: 532, Salutary Label: 2, Ground Truth: 2, Influence Score: 1781055.75
Index: 569, Salutary Label: 9, Ground Truth: 9, Influence Score: 452.7890625
Index: 570, Salutary Label: 0, Ground Truth: 0, Influence Score: 940.0610961914062
Index: 586, Salutary Label: 6, Ground Truth: 9, Influence Score: 1262636.0
Index: 601, Salutary Label: 1, Ground Truth: 1, Influence Score: 6040.61767578125
Index: 638, Salutary Label: 8, Ground Truth: 8, Influence Score: 41327.09375
Index: 656, Salutary Label: 6, Ground Truth: 2, Influence Score: 1815029.625
Index: 681, Salutary Label: 1, Ground Truth: 1, Influence Score: 255115.640625
Index: 727, Salutary Label: 7, Ground Truth: 7, Influence Score: -0.02689472585916519
Index: 751, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.8830577731132507
Index: 769, Salutary Label: 9, Ground Truth: 9, Influence Score: 2995.716796875
Index: 811, Salutary Label: 1, Ground Truth: 1, Influence Score: 1723.4949951171875
Index: 833, Salutary Label: 3, Ground Truth: 2, Influence Score: 26878.998046875
Index: 850, Salutary Label: 0, Ground Truth: 0, Influence Score: 588289.5
Index: 883, Salutary Label: 3, Ground Truth: 3, Influence Score: 25121.248046875
Index: 907, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.233762502670288
Index: 940, Salutary Label: 0, Ground Truth: 0, Influence Score: 468055.625
Index: 967, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.3327387571334839
Index: 998, Salutary Label: 8, Ground Truth: 8, Influence Score: 476.20263671875
Index: 1038, Salutary Label: 8, Ground Truth: 8, Influence Score: 202.627685546875
Index: 1049, Salutary Label: 9, Ground Truth: 9, Influence Score: 20.88849639892578
Index: 1077, Salutary Label: 7, Ground Truth: 7, Influence Score: 51.03288269042969
Index: 1080, Salutary Label: 0, Ground Truth: 0, Influence Score: 147267.140625
Index: 1100, Salutary Label: 0, Ground Truth: 0, Influence Score: 158691.046875
Index: 1127, Salutary Label: 7, Ground Truth: 7, Influence Score: 140.7744598388672
Index: 1160, Salutary Label: 0, Ground Truth: 0, Influence Score: 1222.98291015625
Index: 1171, Salutary Label: 1, Ground Truth: 1, Influence Score: 237934.71875
Index: 1220, Salutary Label: 0, Ground Truth: 0, Influence Score: 154688.4375
Index: 1235, Salutary Label: 5, Ground Truth: 5, Influence Score: 2750.736328125
Index: 1250, Salutary Label: 0, Ground Truth: 0, Influence Score: 924004.5
Index: 1266, Salutary Label: 6, Ground Truth: 6, Influence Score: 607332.1875
Index: 1280, Salutary Label: 0, Ground Truth: 0, Influence Score: 1004081.0
Index: 1291, Salutary Label: 1, Ground Truth: 1, Influence Score: 1220314.25
Index: 1311, Salutary Label: 1, Ground Truth: 1, Influence Score: 111012.0078125
Index: 1339, Salutary Label: 9, Ground Truth: 9, Influence Score: 412.9581604003906
Index: 1340, Salutary Label: 0, Ground Truth: 0, Influence Score: 115.19982147216797
Index: 1358, Salutary Label: 8, Ground Truth: 8, Influence Score: 1912.272705078125
Index: 1361, Salutary Label: 1, Ground Truth: 1, Influence Score: 53.99278259277344
Index: 1388, Salutary Label: 8, Ground Truth: 8, Influence Score: 28413.92578125
Index: 1400, Salutary Label: 0, Ground Truth: 2, Influence Score: 974685.625
Index: 1413, Salutary Label: 3, Ground Truth: 5, Influence Score: 1898328.5
Index: 1442, Salutary Label: 2, Ground Truth: 2, Influence Score: 31081.1015625
Index: 1496, Salutary Label: 6, Ground Truth: 8, Influence Score: 252389.0
Index: 1505, Salutary Label: 5, Ground Truth: 5, Influence Score: 266.55303955078125
Index: 1532, Salutary Label: 2, Ground Truth: 2, Influence Score: 144423.5625
Index: 1558, Salutary Label: 8, Ground Truth: 8, Influence Score: 2198.622314453125
Index: 1578, Salutary Label: 8, Ground Truth: 8, Influence Score: 126.11610412597656
Index: 1631, Salutary Label: 1, Ground Truth: 1, Influence Score: 579865.875
Index: 1647, Salutary Label: 7, Ground Truth: 7, Influence Score: 50465.8828125
Index: 1662, Salutary Label: 2, Ground Truth: 2, Influence Score: 23775.466796875
Index: 1769, Salutary Label: 9, Ground Truth: 9, Influence Score: 734.53076171875
Index: 1778, Salutary Label: 8, Ground Truth: 8, Influence Score: 30900.84765625
Index: 1811, Salutary Label: 1, Ground Truth: 1, Influence Score: 262.5712585449219
Index: 1832, Salutary Label: 2, Ground Truth: 2, Influence Score: 43603.2734375
Index: 1851, Salutary Label: 1, Ground Truth: 1, Influence Score: 11.156054496765137
Index: 1865, Salutary Label: 5, Ground Truth: 2, Influence Score: 1106053.625
Index: 1891, Salutary Label: 1, Ground Truth: 1, Influence Score: 317419.03125
Index: 1906, Salutary Label: 6, Ground Truth: 8, Influence Score: 1389798.0
Index: 1940, Salutary Label: 0, Ground Truth: 2, Influence Score: 747442.25
Index: 1990, Salutary Label: 0, Ground Truth: 0, Influence Score: 752659.25
Index: 2029, Salutary Label: 9, Ground Truth: 9, Influence Score: 59009.875
Index: 2039, Salutary Label: 9, Ground Truth: 9, Influence Score: 1226.14697265625
Index: 2076, Salutary Label: 6, Ground Truth: 6, Influence Score: 464413.71875
Index: 2081, Salutary Label: 1, Ground Truth: 1, Influence Score: 227.114501953125
Index: 2095, Salutary Label: 5, Ground Truth: 3, Influence Score: 1888969.375
