Index: 27, Salutary Label: 7, Ground Truth: 7, Influence Score: 8.931380580179393e-05
Index: 41, Salutary Label: 1, Ground Truth: 1, Influence Score: 38.70331573486328
Index: 51, Salutary Label: 1, Ground Truth: 8, Influence Score: 803199.0
Index: 60, Salutary Label: 0, Ground Truth: 0, Influence Score: 14594.478515625
Index: 78, Salutary Label: 8, Ground Truth: 8, Influence Score: 9.885175704956055
Index: 147, Salutary Label: 7, Ground Truth: 7, Influence Score: 2039.4544677734375
Index: 207, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.0914018452167511
Index: 211, Salutary Label: 1, Ground Truth: 1, Influence Score: 6771.56396484375
Index: 239, Salutary Label: 9, Ground Truth: 9, Influence Score: 10541.78515625
Index: 241, Salutary Label: 1, Ground Truth: 1, Influence Score: 380041.28125
Index: 291, Salutary Label: 1, Ground Truth: 1, Influence Score: 3.428549289703369
Index: 468, Salutary Label: 8, Ground Truth: 8, Influence Score: 1962708.125
Index: 521, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.0014591338112950325
Index: 638, Salutary Label: 8, Ground Truth: 8, Influence Score: 53327.890625
Index: 665, Salutary Label: 5, Ground Truth: 5, Influence Score: 1060613.625
Index: 689, Salutary Label: 9, Ground Truth: 9, Influence Score: 1772235.125
Index: 721, Salutary Label: 1, Ground Truth: 1, Influence Score: 489876.03125
Index: 769, Salutary Label: 9, Ground Truth: 9, Influence Score: 2360.47900390625
Index: 771, Salutary Label: 1, Ground Truth: 9, Influence Score: 21126.234375
Index: 780, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.011264094151556492
Index: 804, Salutary Label: 4, Ground Truth: 7, Influence Score: 1784276.375
Index: 811, Salutary Label: 1, Ground Truth: 1, Influence Score: 894.5603637695312
Index: 878, Salutary Label: 8, Ground Truth: 8, Influence Score: 244.42153930664062
Index: 962, Salutary Label: 2, Ground Truth: 8, Influence Score: 971224.0
Index: 1040, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.047309353947639465
Index: 1074, Salutary Label: 4, Ground Truth: 0, Influence Score: 1866645.0
Index: 1085, Salutary Label: 5, Ground Truth: 5, Influence Score: 972748.5
Index: 1106, Salutary Label: 6, Ground Truth: 0, Influence Score: 251979.5
Index: 1201, Salutary Label: 1, Ground Truth: 1, Influence Score: 50.591922760009766
Index: 1218, Salutary Label: 8, Ground Truth: 0, Influence Score: 730415.5
Index: 1317, Salutary Label: 7, Ground Truth: 7, Influence Score: 102.20829010009766
Index: 1325, Salutary Label: 5, Ground Truth: 5, Influence Score: 1526855.625
Index: 1348, Salutary Label: 8, Ground Truth: 8, Influence Score: 358389.5625
Index: 1378, Salutary Label: 8, Ground Truth: 8, Influence Score: 2598.489013671875
Index: 1381, Salutary Label: 1, Ground Truth: 1, Influence Score: 765.3030395507812
Index: 1398, Salutary Label: 8, Ground Truth: 8, Influence Score: 359.6769714355469
Index: 1403, Salutary Label: 3, Ground Truth: 3, Influence Score: 1325794.75
Index: 1429, Salutary Label: 9, Ground Truth: 9, Influence Score: 41758.3828125
