Index: 1, Salutary Label: 1, Ground Truth: 1, Influence Score: -9.640733878768515e-06
Index: 21, Salutary Label: 1, Ground Truth: 9, Influence Score: 9.349154472351074
Index: 41, Salutary Label: 1, Ground Truth: 9, Influence Score: 218.6898651123047
Index: 71, Salutary Label: 1, Ground Truth: 1, Influence Score: 11.86087703704834
Index: 118, Salutary Label: 8, Ground Truth: 8, Influence Score: 359.4219970703125
Index: 127, Salutary Label: 7, Ground Truth: 7, Influence Score: 24447.03125
Index: 141, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.017949840053915977
Index: 151, Salutary Label: 1, Ground Truth: 1, Influence Score: 67082.5546875
Index: 229, Salutary Label: 9, Ground Truth: 9, Influence Score: 211059.65625
Index: 235, Salutary Label: 5, Ground Truth: 3, Influence Score: 184702.734375
Index: 247, Salutary Label: 7, Ground Truth: 7, Influence Score: 5138.74853515625
Index: 258, Salutary Label: 8, Ground Truth: 8, Influence Score: 35.40007781982422
Index: 310, Salutary Label: 0, Ground Truth: 0, Influence Score: 1.6045572757720947
Index: 329, Salutary Label: 9, Ground Truth: 9, Influence Score: 465.32940673828125
Index: 338, Salutary Label: 8, Ground Truth: 8, Influence Score: 58.9976806640625
Index: 348, Salutary Label: 8, Ground Truth: 8, Influence Score: 725.8943481445312
Index: 408, Salutary Label: 8, Ground Truth: 8, Influence Score: 1243.6416015625
Index: 418, Salutary Label: 8, Ground Truth: 8, Influence Score: 0.16024145483970642
Index: 421, Salutary Label: 1, Ground Truth: 1, Influence Score: 6024.9462890625
Index: 439, Salutary Label: 9, Ground Truth: 4, Influence Score: 860774.875
Index: 448, Salutary Label: 8, Ground Truth: 8, Influence Score: 128.61575317382812
Index: 507, Salutary Label: 7, Ground Truth: 7, Influence Score: 8.345413208007812
Index: 540, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.04712173715233803
Index: 561, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.3722664415836334
Index: 618, Salutary Label: 8, Ground Truth: 8, Influence Score: 22.94644546508789
Index: 672, Salutary Label: 2, Ground Truth: 2, Influence Score: 4.089160919189453
Index: 687, Salutary Label: 7, Ground Truth: 4, Influence Score: 1996081.5
Index: 698, Salutary Label: 8, Ground Truth: 8, Influence Score: 18.522174835205078
Index: 751, Salutary Label: 1, Ground Truth: 0, Influence Score: 7643.275390625
Index: 768, Salutary Label: 8, Ground Truth: 0, Influence Score: 66.66693115234375
Index: 815, Salutary Label: 5, Ground Truth: 3, Influence Score: 303949.96875
Index: 829, Salutary Label: 9, Ground Truth: 9, Influence Score: 27.21415901184082
Index: 831, Salutary Label: 1, Ground Truth: 1, Influence Score: 7.175351493060589e-05
Index: 863, Salutary Label: 3, Ground Truth: 7, Influence Score: 1037189.25
Index: 901, Salutary Label: 1, Ground Truth: 1, Influence Score: 104117.6953125
Index: 943, Salutary Label: 3, Ground Truth: 4, Influence Score: 337520.5
Index: 957, Salutary Label: 7, Ground Truth: 7, Influence Score: 120.44058227539062
Index: 969, Salutary Label: 9, Ground Truth: 7, Influence Score: 813172.0
Index: 991, Salutary Label: 1, Ground Truth: 1, Influence Score: 1133512.375
Index: 1038, Salutary Label: 8, Ground Truth: 8, Influence Score: 387.8364562988281
Index: 1071, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.15780805051326752
Index: 1080, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.18035611510276794
Index: 1097, Salutary Label: 7, Ground Truth: 3, Influence Score: 37819.98828125
Index: 1107, Salutary Label: 7, Ground Truth: 7, Influence Score: 57.15526580810547
Index: 1111, Salutary Label: 1, Ground Truth: 1, Influence Score: 805.2684326171875
Index: 1129, Salutary Label: 9, Ground Truth: 5, Influence Score: 1953788.125
Index: 1148, Salutary Label: 8, Ground Truth: 8, Influence Score: 2.6717495918273926
Index: 1159, Salutary Label: 9, Ground Truth: 9, Influence Score: 35.98451232910156
Index: 1179, Salutary Label: 9, Ground Truth: 9, Influence Score: 1545185.375
Index: 1183, Salutary Label: 3, Ground Truth: 6, Influence Score: 359980.5625
Index: 1248, Salutary Label: 8, Ground Truth: 8, Influence Score: 1.8638279438018799
Index: 1251, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.00019634873024187982
Index: 1289, Salutary Label: 9, Ground Truth: 1, Influence Score: 1399945.0
Index: 1297, Salutary Label: 7, Ground Truth: 4, Influence Score: 1644891.25
Index: 1313, Salutary Label: 3, Ground Truth: 3, Influence Score: 190997.78125
Index: 1328, Salutary Label: 8, Ground Truth: 8, Influence Score: 3761.885986328125
Index: 1347, Salutary Label: 7, Ground Truth: 7, Influence Score: 1.8280017684446648e-05
Index: 1367, Salutary Label: 7, Ground Truth: 7, Influence Score: 962.5006103515625
Index: 1379, Salutary Label: 9, Ground Truth: 9, Influence Score: 824062.5625
Index: 1437, Salutary Label: 7, Ground Truth: 7, Influence Score: 236.72119140625
Index: 1478, Salutary Label: 8, Ground Truth: 8, Influence Score: 282.5033264160156
Index: 1480, Salutary Label: 0, Ground Truth: 0, Influence Score: 33235.4375
Index: 1491, Salutary Label: 1, Ground Truth: 1, Influence Score: 13.880184173583984
Index: 1509, Salutary Label: 9, Ground Truth: 6, Influence Score: 546927.5
Index: 1517, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.22718869149684906
