Index: 23, Salutary Label: 3, Ground Truth: 5, Influence Score: 450504.53125
Index: 37, Salutary Label: 7, Ground Truth: 2, Influence Score: 602953.375
Index: 48, Salutary Label: 8, Ground Truth: 0, Influence Score: 949598.125
Index: 60, Salutary Label: 0, Ground Truth: 0, Influence Score: 13969.9052734375
Index: 77, Salutary Label: 7, Ground Truth: 7, Influence Score: 1564871.0
Index: 87, Salutary Label: 7, Ground Truth: 3, Influence Score: 1697777.25
Index: 97, Salutary Label: 7, Ground Truth: 7, Influence Score: 73338.2265625
Index: 110, Salutary Label: 0, Ground Truth: 0, Influence Score: 35155.86328125
Index: 123, Salutary Label: 3, Ground Truth: 5, Influence Score: 632085.75
Index: 138, Salutary Label: 8, Ground Truth: 2, Influence Score: 1792732.0
Index: 145, Salutary Label: 5, Ground Truth: 4, Influence Score: 1279689.0
Index: 157, Salutary Label: 7, Ground Truth: 7, Influence Score: 551700.25
Index: 168, Salutary Label: 8, Ground Truth: 8, Influence Score: 89302.25
Index: 178, Salutary Label: 8, Ground Truth: 8, Influence Score: 190509.15625
Index: 183, Salutary Label: 3, Ground Truth: 4, Influence Score: 1265894.5
Index: 191, Salutary Label: 1, Ground Truth: 1, Influence Score: 1694219.75
Index: 201, Salutary Label: 1, Ground Truth: 1, Influence Score: 11071.2880859375
Index: 237, Salutary Label: 7, Ground Truth: 7, Influence Score: 57121.91015625
Index: 258, Salutary Label: 8, Ground Truth: 1, Influence Score: 1275523.125
Index: 260, Salutary Label: 0, Ground Truth: 0, Influence Score: 54716.65625
Index: 271, Salutary Label: 1, Ground Truth: 0, Influence Score: 1315633.875
Index: 280, Salutary Label: 0, Ground Truth: 0, Influence Score: 394689.6875
Index: 305, Salutary Label: 5, Ground Truth: 3, Influence Score: 834372.25
Index: 317, Salutary Label: 7, Ground Truth: 2, Influence Score: 1736857.625
Index: 329, Salutary Label: 9, Ground Truth: 9, Influence Score: 270390.59375
Index: 336, Salutary Label: 6, Ground Truth: 3, Influence Score: 1613095.0
Index: 343, Salutary Label: 3, Ground Truth: 3, Influence Score: 891780.375
Index: 355, Salutary Label: 5, Ground Truth: 5, Influence Score: 448933.6875
Index: 360, Salutary Label: 0, Ground Truth: 0, Influence Score: 4161.087890625
Index: 376, Salutary Label: 6, Ground Truth: 3, Influence Score: 879125.5
Index: 385, Salutary Label: 5, Ground Truth: 0, Influence Score: 1504808.25
Index: 399, Salutary Label: 9, Ground Truth: 0, Influence Score: 1055207.125
Index: 409, Salutary Label: 9, Ground Truth: 9, Influence Score: 2073.95751953125
Index: 418, Salutary Label: 8, Ground Truth: 8, Influence Score: 1572518.0
Index: 426, Salutary Label: 6, Ground Truth: 6, Influence Score: 1360608.875
Index: 448, Salutary Label: 8, Ground Truth: 8, Influence Score: 277188.0625
Index: 456, Salutary Label: 6, Ground Truth: 6, Influence Score: 1139598.875
Index: 469, Salutary Label: 9, Ground Truth: 9, Influence Score: 1428569.0
Index: 475, Salutary Label: 5, Ground Truth: 5, Influence Score: 381780.6875
Index: 482, Salutary Label: 2, Ground Truth: 2, Influence Score: 5276.7109375
Index: 494, Salutary Label: 4, Ground Truth: 4, Influence Score: 998468.75
Index: 505, Salutary Label: 5, Ground Truth: 6, Influence Score: 1209934.5
Index: 513, Salutary Label: 3, Ground Truth: 4, Influence Score: 1279374.5
Index: 528, Salutary Label: 8, Ground Truth: 8, Influence Score: 1400927.75
Index: 538, Salutary Label: 8, Ground Truth: 8, Influence Score: 11191.9853515625
Index: 548, Salutary Label: 8, Ground Truth: 4, Influence Score: 1207873.75
Index: 555, Salutary Label: 5, Ground Truth: 7, Influence Score: 1139292.625
Index: 569, Salutary Label: 9, Ground Truth: 9, Influence Score: 868016.375
Index: 571, Salutary Label: 1, Ground Truth: 1, Influence Score: 1383391.75
Index: 582, Salutary Label: 2, Ground Truth: 2, Influence Score: 39564.4296875
Index: 599, Salutary Label: 9, Ground Truth: 3, Influence Score: 717043.5
Index: 616, Salutary Label: 6, Ground Truth: 6, Influence Score: 146450.71875
Index: 629, Salutary Label: 9, Ground Truth: 9, Influence Score: 255597.5
Index: 638, Salutary Label: 8, Ground Truth: 8, Influence Score: 487997.6875
Index: 646, Salutary Label: 6, Ground Truth: 6, Influence Score: 48556.82421875
Index: 666, Salutary Label: 6, Ground Truth: 6, Influence Score: 279313.28125
Index: 681, Salutary Label: 1, Ground Truth: 1, Influence Score: 1951297.0
Index: 696, Salutary Label: 6, Ground Truth: 6, Influence Score: 750715.1875
Index: 702, Salutary Label: 2, Ground Truth: 2, Influence Score: 363180.25
Index: 711, Salutary Label: 1, Ground Truth: 2, Influence Score: 1566956.0
Index: 721, Salutary Label: 1, Ground Truth: 1, Influence Score: 60515.01953125
Index: 736, Salutary Label: 6, Ground Truth: 6, Influence Score: 869170.4375
Index: 743, Salutary Label: 3, Ground Truth: 3, Influence Score: 664864.0
Index: 758, Salutary Label: 8, Ground Truth: 8, Influence Score: 23880.595703125
Index: 769, Salutary Label: 9, Ground Truth: 8, Influence Score: 1312832.0
Index: 774, Salutary Label: 4, Ground Truth: 2, Influence Score: 400203.65625
Index: 786, Salutary Label: 6, Ground Truth: 6, Influence Score: 651422.4375
Index: 791, Salutary Label: 1, Ground Truth: 1, Influence Score: 2562.609130859375
Index: 809, Salutary Label: 9, Ground Truth: 9, Influence Score: 17644.55859375
Index: 819, Salutary Label: 9, Ground Truth: 9, Influence Score: 102370.8046875
Index: 829, Salutary Label: 9, Ground Truth: 1, Influence Score: 217440.75
Index: 831, Salutary Label: 1, Ground Truth: 1, Influence Score: 8124.82470703125
Index: 848, Salutary Label: 8, Ground Truth: 8, Influence Score: 689942.875
Index: 853, Salutary Label: 3, Ground Truth: 3, Influence Score: 470288.125
Index: 864, Salutary Label: 4, Ground Truth: 4, Influence Score: 1738968.0
Index: 877, Salutary Label: 7, Ground Truth: 7, Influence Score: 1017.9063110351562
Index: 887, Salutary Label: 7, Ground Truth: 7, Influence Score: 149155.796875
Index: 898, Salutary Label: 8, Ground Truth: 5, Influence Score: 1641633.0
Index: 917, Salutary Label: 7, Ground Truth: 4, Influence Score: 1146615.5
Index: 925, Salutary Label: 5, Ground Truth: 5, Influence Score: 1840856.875
Index: 934, Salutary Label: 4, Ground Truth: 7, Influence Score: 808243.1875
Index: 955, Salutary Label: 5, Ground Truth: 3, Influence Score: 1240665.0
Index: 966, Salutary Label: 6, Ground Truth: 6, Influence Score: 701624.875
Index: 995, Salutary Label: 5, Ground Truth: 5, Influence Score: 992893.5
Index: 1016, Salutary Label: 6, Ground Truth: 6, Influence Score: 1146173.5
Index: 1023, Salutary Label: 3, Ground Truth: 3, Influence Score: 116.56410217285156
Index: 1037, Salutary Label: 7, Ground Truth: 7, Influence Score: 1744191.75
Index: 1041, Salutary Label: 1, Ground Truth: 1, Influence Score: 526980.75
Index: 1059, Salutary Label: 9, Ground Truth: 9, Influence Score: 1181743.5
Index: 1067, Salutary Label: 7, Ground Truth: 7, Influence Score: 148726.4375
Index: 1071, Salutary Label: 1, Ground Truth: 1, Influence Score: 39722.9140625
Index: 1082, Salutary Label: 2, Ground Truth: 2, Influence Score: 29243.99609375
Index: 1095, Salutary Label: 5, Ground Truth: 5, Influence Score: 1637613.375
Index: 1109, Salutary Label: 9, Ground Truth: 9, Influence Score: 550617.8125
Index: 1128, Salutary Label: 8, Ground Truth: 8, Influence Score: 848529.75
Index: 1149, Salutary Label: 9, Ground Truth: 0, Influence Score: 1204270.25
Index: 1158, Salutary Label: 8, Ground Truth: 8, Influence Score: 4142.21044921875
Index: 1179, Salutary Label: 9, Ground Truth: 3, Influence Score: 619707.25
Index: 1189, Salutary Label: 9, Ground Truth: 9, Influence Score: 190349.90625
Index: 1199, Salutary Label: 9, Ground Truth: 9, Influence Score: 176262.0625
Index: 1209, Salutary Label: 9, Ground Truth: 9, Influence Score: 356457.125
Index: 1215, Salutary Label: 5, Ground Truth: 5, Influence Score: 9361.2119140625
Index: 1226, Salutary Label: 6, Ground Truth: 6, Influence Score: 1453072.25
Index: 1234, Salutary Label: 4, Ground Truth: 2, Influence Score: 1559587.625
Index: 1241, Salutary Label: 1, Ground Truth: 1, Influence Score: 38449.14453125
Index: 1258, Salutary Label: 8, Ground Truth: 1, Influence Score: 1786496.0
Index: 1261, Salutary Label: 1, Ground Truth: 1, Influence Score: 451836.0625
Index: 1279, Salutary Label: 9, Ground Truth: 0, Influence Score: 365981.0
Index: 1291, Salutary Label: 1, Ground Truth: 1, Influence Score: 1059688.0
Index: 1301, Salutary Label: 1, Ground Truth: 2, Influence Score: 602722.3125
Index: 1319, Salutary Label: 9, Ground Truth: 9, Influence Score: 377230.8125
Index: 1328, Salutary Label: 8, Ground Truth: 3, Influence Score: 1625575.25
Index: 1339, Salutary Label: 9, Ground Truth: 9, Influence Score: 152938.25
Index: 1340, Salutary Label: 0, Ground Truth: 0, Influence Score: 11705.4599609375
Index: 1359, Salutary Label: 9, Ground Truth: 7, Influence Score: 279406.0
Index: 1360, Salutary Label: 0, Ground Truth: 8, Influence Score: 5505.7041015625
Index: 1377, Salutary Label: 7, Ground Truth: 7, Influence Score: 55371.65234375
Index: 1385, Salutary Label: 5, Ground Truth: 0, Influence Score: 1176416.125
Index: 1391, Salutary Label: 1, Ground Truth: 1, Influence Score: 294546.09375
Index: 1405, Salutary Label: 5, Ground Truth: 5, Influence Score: 1439483.5
Index: 1429, Salutary Label: 9, Ground Truth: 1, Influence Score: 984409.25
Index: 1436, Salutary Label: 6, Ground Truth: 8, Influence Score: 1083844.25
Index: 1440, Salutary Label: 0, Ground Truth: 0, Influence Score: 4936.86181640625
Index: 1456, Salutary Label: 6, Ground Truth: 6, Influence Score: 686513.375
Index: 1461, Salutary Label: 1, Ground Truth: 1, Influence Score: 320304.25
Index: 1474, Salutary Label: 4, Ground Truth: 6, Influence Score: 745403.25
Index: 1482, Salutary Label: 2, Ground Truth: 2, Influence Score: 3793.185546875
Index: 1490, Salutary Label: 0, Ground Truth: 0, Influence Score: 15068.998046875
Index: 1506, Salutary Label: 6, Ground Truth: 2, Influence Score: 1049377.5
Index: 1511, Salutary Label: 1, Ground Truth: 1, Influence Score: 803501.1875
Index: 1527, Salutary Label: 7, Ground Truth: 7, Influence Score: 742419.625
Index: 1531, Salutary Label: 1, Ground Truth: 1, Influence Score: 176804.53125
Index: 1547, Salutary Label: 7, Ground Truth: 7, Influence Score: 5412.68896484375
Index: 1557, Salutary Label: 7, Ground Truth: 4, Influence Score: 545234.875
Index: 1569, Salutary Label: 9, Ground Truth: 9, Influence Score: 298715.0625
Index: 1570, Salutary Label: 0, Ground Truth: 0, Influence Score: 43547.78125
Index: 1586, Salutary Label: 6, Ground Truth: 6, Influence Score: 1076087.625
Index: 1599, Salutary Label: 9, Ground Truth: 9, Influence Score: 1009235.1875
Index: 1605, Salutary Label: 5, Ground Truth: 5, Influence Score: 946328.0625
Index: 1610, Salutary Label: 0, Ground Truth: 0, Influence Score: 19198.2109375
Index: 1639, Salutary Label: 9, Ground Truth: 9, Influence Score: 1420684.5
Index: 1645, Salutary Label: 5, Ground Truth: 5, Influence Score: 1118526.25
Index: 1656, Salutary Label: 6, Ground Truth: 6, Influence Score: 100104.9609375
Index: 1668, Salutary Label: 8, Ground Truth: 1, Influence Score: 1129806.75
Index: 1688, Salutary Label: 8, Ground Truth: 8, Influence Score: 110308.8359375
Index: 1696, Salutary Label: 6, Ground Truth: 5, Influence Score: 983272.9375
Index: 1707, Salutary Label: 7, Ground Truth: 5, Influence Score: 1501404.875
Index: 1714, Salutary Label: 4, Ground Truth: 2, Influence Score: 764988.4375
Index: 1726, Salutary Label: 6, Ground Truth: 2, Influence Score: 567524.375
Index: 1745, Salutary Label: 5, Ground Truth: 5, Influence Score: 1063377.375
Index: 1756, Salutary Label: 6, Ground Truth: 6, Influence Score: 1023148.0625
Index: 1769, Salutary Label: 9, Ground Truth: 9, Influence Score: 402478.875
Index: 1770, Salutary Label: 0, Ground Truth: 0, Influence Score: 1412.259765625
Index: 1788, Salutary Label: 8, Ground Truth: 8, Influence Score: 25060.48828125
Index: 1798, Salutary Label: 8, Ground Truth: 8, Influence Score: 55995.1015625
Index: 1807, Salutary Label: 7, Ground Truth: 7, Influence Score: 146076.40625
Index: 1811, Salutary Label: 1, Ground Truth: 1, Influence Score: 4398.8681640625
Index: 1821, Salutary Label: 1, Ground Truth: 9, Influence Score: 518065.0
Index: 1844, Salutary Label: 4, Ground Truth: 4, Influence Score: 1202441.375
Index: 1850, Salutary Label: 0, Ground Truth: 0, Influence Score: 1439.5927734375
Index: 1891, Salutary Label: 1, Ground Truth: 1, Influence Score: 1710983.125
Index: 1917, Salutary Label: 7, Ground Truth: 2, Influence Score: 1056981.375
Index: 1927, Salutary Label: 7, Ground Truth: 2, Influence Score: 1210500.5
Index: 1935, Salutary Label: 5, Ground Truth: 5, Influence Score: 927891.6875
Index: 1945, Salutary Label: 5, Ground Truth: 3, Influence Score: 1364962.75
Index: 1967, Salutary Label: 7, Ground Truth: 2, Influence Score: 1355733.25
Index: 1975, Salutary Label: 5, Ground Truth: 5, Influence Score: 517331.0625
Index: 1983, Salutary Label: 3, Ground Truth: 6, Influence Score: 957391.9375
Index: 1998, Salutary Label: 8, Ground Truth: 8, Influence Score: 182637.625
Index: 2007, Salutary Label: 7, Ground Truth: 4, Influence Score: 1309874.5
Index: 2020, Salutary Label: 0, Ground Truth: 0, Influence Score: 475537.75
Index: 2039, Salutary Label: 9, Ground Truth: 1, Influence Score: 1039749.5
Index: 2049, Salutary Label: 9, Ground Truth: 9, Influence Score: 487711.25
Index: 2058, Salutary Label: 8, Ground Truth: 8, Influence Score: 363198.53125
Index: 2061, Salutary Label: 1, Ground Truth: 9, Influence Score: 738997.125
Index: 2076, Salutary Label: 6, Ground Truth: 6, Influence Score: 47025.578125
Index: 2080, Salutary Label: 0, Ground Truth: 0, Influence Score: 20866.4453125
Index: 2100, Salutary Label: 0, Ground Truth: 0, Influence Score: 2459.112060546875
Index: 2117, Salutary Label: 7, Ground Truth: 3, Influence Score: 674578.3125
Index: 2127, Salutary Label: 7, Ground Truth: 5, Influence Score: 1738727.875
Index: 2146, Salutary Label: 6, Ground Truth: 6, Influence Score: 1508397.125
Index: 2157, Salutary Label: 7, Ground Truth: 4, Influence Score: 1490268.0
Index: 2169, Salutary Label: 9, Ground Truth: 3, Influence Score: 1792537.0
Index: 2179, Salutary Label: 9, Ground Truth: 9, Influence Score: 144620.609375
Index: 2187, Salutary Label: 7, Ground Truth: 2, Influence Score: 956429.0
Index: 2199, Salutary Label: 9, Ground Truth: 9, Influence Score: 349894.8125
Index: 2205, Salutary Label: 5, Ground Truth: 2, Influence Score: 1301842.5
Index: 2220, Salutary Label: 0, Ground Truth: 0, Influence Score: 17948.794921875
