Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.386736	0.380796	0.760406	2.170795	21.860000	15.136398	
0.041703	0.031481	1.308380	2.237079	29.370000	15.151664	
0.026087	0.016586	1.216225	2.459406	33.760000	15.201772	
0.032413	0.022949	1.211384	2.716366	35.580000	15.202111	
0.022881	0.014214	1.109436	2.944642	36.330000	15.311513	
0.024097	0.015691	1.076027	3.090509	36.760000	15.267066	
0.025429	0.017732	0.985116	3.164376	36.630000	15.250231	
0.031442	0.018309	1.224401	3.210463	36.770000	15.258926	
0.032338	0.018526	0.883976	3.193496	36.870000	15.276200	
0.026073	0.013172	0.825636	3.180623	37.140000	15.281638	
0.026180	0.013653	0.801763	3.160962	37.510000	15.304237	
0.031854	0.016630	0.732840	3.122765	37.800000	15.325050	
0.029114	0.011835	0.737224	3.070908	37.800000	15.369242	
0.026747	0.011372	0.655994	3.075860	37.530000	15.400754	
0.033661	0.015134	0.790477	3.076487	37.910000	15.423214	
0.033207	0.012271	0.680922	3.057712	38.010000	15.437518	
0.033441	0.012501	0.670077	3.049228	37.770000	15.451107	
0.032063	0.012139	0.637572	3.041177	37.900000	15.460664	
0.031368	0.011025	0.617278	3.025797	37.870000	15.493759	
0.041610	0.016054	0.654231	2.985803	38.080000	15.521329	
0.035684	0.011878	0.609429	2.974713	38.560000	15.527181	
0.033394	0.010418	0.588177	2.955496	38.530000	15.536367	
0.036482	0.010464	0.606127	2.932116	39.000000	15.552928	
0.036899	0.009034	0.594440	2.916365	38.850000	15.572704	
0.040963	0.012871	0.599280	2.949176	39.310000	15.580748	
0.037609	0.008897	0.612516	2.932570	39.060000	15.592094	
0.048299	0.014353	0.636803	2.938485	38.670000	15.609638	
0.042678	0.011169	0.576170	2.908539	38.890000	15.635987	
0.038904	0.008337	0.558939	2.897954	38.880000	15.658508	
0.042743	0.010316	0.580039	2.892012	39.420000	15.675105	
0.044964	0.009778	0.562988	2.876905	39.270000	15.691172	
0.047049	0.010699	0.581608	2.859888	39.390000	15.701310	
0.045739	0.010955	0.556555	2.875684	39.110000	15.719342	
0.045020	0.010077	0.526923	2.882304	39.070000	15.731588	
0.046575	0.008614	0.539902	2.885169	39.420000	15.755058	
0.052608	0.013921	0.550214	2.884304	39.180000	15.772304	
0.046386	0.008522	0.538504	2.872215	39.110000	15.787434	
0.051719	0.010758	0.531287	2.848731	39.450000	15.804054	
0.056410	0.014254	0.539605	2.830840	39.800000	15.826088	
0.049314	0.008344	0.524416	2.812010	40.090000	15.849500	
0.053467	0.009715	0.545270	2.798046	40.260000	15.865842	
0.061125	0.013453	0.554729	2.769339	40.480000	15.885599	
0.055402	0.009614	0.532813	2.743614	40.760000	15.897767	
0.049508	0.007102	0.493448	2.726019	40.710000	15.912460	
0.057927	0.009429	0.531072	2.742431	40.860000	15.932331	
0.060354	0.011213	0.524172	2.746098	40.310000	15.946363	
0.056987	0.008865	0.513305	2.710630	41.080000	15.962763	
0.056462	0.009834	0.493274	2.739772	41.170000	15.981492	
0.061542	0.010713	0.500465	2.726038	41.180000	16.003071	
0.058936	0.008592	0.495698	2.749271	41.380000	16.020020	
0.064806	0.012037	0.519575	2.725904	41.220000	16.038985	
0.062023	0.008266	0.508468	2.713691	41.790000	16.067497	
0.059970	0.007511	0.479627	2.667399	41.900000	16.088935	
0.063207	0.008820	0.497252	2.648656	42.150000	16.105740	
0.063869	0.008565	0.505383	2.645584	42.850000	16.123886	
0.067942	0.010448	0.490613	2.626914	43.260000	16.137522	
0.070537	0.011468	0.504056	2.614478	43.200000	16.152731	
0.064039	0.009093	0.468874	2.626692	43.140000	16.167952	
0.067570	0.008599	0.487324	2.672896	43.190000	16.182199	
0.068097	0.008054	0.480343	2.684593	43.070000	16.200459	
0.069164	0.008467	0.485576	2.659783	42.940000	16.221268	
0.068558	0.009945	0.468902	2.599659	43.840000	16.233427	
0.072257	0.010047	0.468761	2.581671	44.040000	16.249073	
0.074637	0.010646	0.481819	2.598598	43.670000	16.267096	
