Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.194050	0.187783	0.802224	2.801900	13.862500	41.108597	
0.091538	0.083245	1.061503	2.419916	20.087500	40.646537	
0.023349	0.011704	1.490478	3.003748	18.337500	40.595199	
0.016717	0.006340	1.328321	3.553511	18.337500	40.616980	
0.012310	0.006932	0.688378	3.923476	19.162500	40.669962	
0.010330	0.003441	0.881735	4.114197	20.087500	40.697757	
0.087315	0.079754	0.967881	5.111121	16.387500	40.716647	
0.032677	0.015058	1.790950	5.746691	16.150000	40.778920	
0.032793	0.012914	1.272248	5.827660	16.637500	40.873128	
0.027907	0.006147	1.392651	5.647165	18.037500	40.938486	
0.022214	0.006087	1.032135	5.344204	19.325000	40.993656	
0.024195	0.005429	0.900993	5.138623	20.337500	41.078342	
0.049258	0.024664	1.049348	5.282484	20.587500	41.156893	
0.028411	0.006992	0.913865	5.276112	21.125000	41.237322	
0.024715	0.005986	0.799122	5.112699	21.687500	41.298568	
0.047952	0.021100	0.883406	4.948641	21.862500	41.379170	
0.038965	0.014986	0.767304	4.914640	21.462500	41.452683	
0.031972	0.008262	0.758723	4.855412	22.262500	41.518090	
0.028310	0.005579	0.691931	4.726466	23.337500	41.577631	
0.039508	0.014632	0.636831	4.814372	23.550000	41.658508	
0.034279	0.007026	0.697664	4.940142	24.087500	41.706616	
0.033710	0.008469	0.646150	4.972845	24.325000	41.775204	
0.035192	0.007733	0.637414	4.956149	24.850000	41.848515	
0.035099	0.006283	0.614738	4.878354	24.762500	41.927169	
0.033656	0.006532	0.578646	4.750913	24.762500	42.002592	
0.027907	0.004840	0.492093	4.725313	24.525000	42.064772	
0.164212	0.136056	0.528727	5.864217	17.150000	42.122588	
0.091935	0.042897	0.896687	7.531669	12.337500	42.182212	
0.056447	0.012176	0.809521	7.064009	14.975000	42.235664	
0.050903	0.010532	0.724266	6.648617	16.837500	42.291008	
0.049909	0.010184	0.635602	6.353629	17.537500	42.354811	
0.048652	0.009345	0.628904	6.098688	17.562500	42.413663	
0.041446	0.006590	0.557706	5.911877	17.700000	42.468744	
0.044701	0.007803	0.556114	5.685460	18.012500	42.533910	
0.043816	0.006416	0.531910	5.520949	18.475000	42.604279	
0.044606	0.007815	0.523244	5.459895	19.412500	42.672029	
0.046125	0.010349	0.508820	5.268453	19.787500	42.737344	
0.048248	0.010221	0.492505	5.260801	19.650000	42.810562	
0.043866	0.007045	0.471302	5.002519	20.775000	42.881584	
0.039539	0.004843	0.444103	4.883590	21.087500	42.947987	
0.036471	0.004367	0.400325	4.768033	21.750000	43.014062	
0.042293	0.007426	0.405720	4.664823	22.237500	43.087691	
0.037533	0.005080	0.377634	4.617035	22.425000	43.157299	
0.039637	0.005047	0.402507	4.546433	22.775000	43.224636	
0.043034	0.005716	0.410294	4.502871	22.925000	43.297777	
0.051615	0.010396	0.439662	4.483920	23.000000	43.384193	
0.038395	0.003931	0.367620	4.442646	23.725000	43.457722	
0.043175	0.005171	0.401677	4.448524	23.800000	43.539166	
0.041304	0.006178	0.345850	4.355684	23.987500	43.627585	
0.044741	0.004602	0.395221	4.306704	24.425000	43.702397	
0.040559	0.004150	0.358492	4.207481	24.587500	43.778271	
0.046808	0.006760	0.376859	4.179719	24.775000	43.860812	
0.040626	0.004224	0.332816	4.130636	25.050000	43.954722	
0.038080	0.003612	0.315135	4.126721	25.125000	44.036848	
0.042349	0.003941	0.350879	4.111609	25.137500	44.113225	
0.042196	0.005202	0.315683	4.089394	25.237500	44.190979	
0.044190	0.004133	0.341821	4.055682	25.725000	44.271810	
0.036713	0.003768	0.281128	4.082153	25.925000	44.349662	
0.047872	0.006732	0.340015	4.082982	26.087500	44.430859	
0.046812	0.005953	0.326874	4.053074	26.375000	44.512551	
0.041334	0.004631	0.293618	4.022802	26.575000	44.593107	
0.043953	0.004850	0.312817	4.015341	26.712500	44.669670	
0.044940	0.003595	0.311670	3.984952	27.087500	44.746906	
0.042776	0.004308	0.289643	3.999087	27.275000	44.828442	
0.039839	0.003235	0.275607	4.005157	27.587500	44.899532	
0.048025	0.006160	0.306010	4.063266	27.262500	44.979239	
0.053407	0.008026	0.322703	4.223496	25.775000	45.060158	
0.051182	0.004760	0.330108	4.134990	26.250000	45.147419	
0.051724	0.004180	0.337514	4.104026	26.762500	45.230981	
0.045132	0.003649	0.279466	4.162226	26.800000	45.313918	
0.044627	0.003770	0.275246	4.239775	27.125000	45.399342	
0.047481	0.005354	0.283799	4.156722	27.312500	45.476389	
0.047362	0.005009	0.276976	4.197361	26.925000	45.555104	
0.051191	0.004621	0.298042	4.308746	26.475000	45.637129	
0.048047	0.003828	0.283001	4.407993	25.987500	45.717490	
0.048740	0.004569	0.280297	4.454293	26.162500	45.798197	
0.053134	0.005258	0.291817	4.436064	26.400000	45.883356	
0.048455	0.002882	0.277784	4.412674	26.162500	45.967284	
0.045113	0.003069	0.256268	4.476368	25.862500	46.048341	
0.055929	0.004804	0.300543	4.425177	26.325000	46.134191	
0.055531	0.005285	0.292345	4.373159	26.200000	46.215404	
0.049946	0.003305	0.271367	4.440670	26.125000	46.295837	
0.051159	0.003898	0.271135	4.464939	26.387500	46.376952	
0.047148	0.003087	0.245210	4.466992	26.412500	46.461241	
0.046123	0.003248	0.238604	4.543912	26.350000	46.542031	
0.047542	0.002748	0.249285	4.542645	26.387500	46.621575	
0.052815	0.004401	0.258590	4.550518	26.300000	46.708269	
0.060093	0.004849	0.294635	4.572048	26.362500	46.791139	
0.055950	0.003820	0.278027	4.566656	26.350000	46.873257	
0.052380	0.003615	0.253892	4.596204	26.537500	46.954715	
0.054204	0.003489	0.259660	4.601113	26.500000	47.035618	
0.049476	0.003122	0.237335	4.658248	26.025000	47.115439	
0.056786	0.004340	0.265914	4.618162	26.625000	47.196687	
0.054043	0.003476	0.248945	4.593487	26.912500	47.281312	
0.058191	0.003989	0.266840	4.584687	26.475000	47.363116	
0.053592	0.003308	0.247555	4.557186	26.887500	47.443018	
0.056198	0.003670	0.250125	4.563067	26.800000	47.525112	
0.051481	0.003452	0.227695	4.583619	26.825000	47.608295	
0.066703	0.006586	0.285001	4.674250	26.587500	47.689318	
0.051491	0.003083	0.224435	4.766163	26.575000	47.773004	
0.054348	0.002958	0.234924	4.792416	26.275000	47.857630	
0.056225	0.003532	0.240884	4.816204	25.900000	47.940515	
0.058575	0.004085	0.247094	4.832969	25.512500	48.023396	
0.059754	0.003506	0.248266	4.836112	25.362500	48.109029	
0.052678	0.003067	0.218970	4.954449	25.262500	48.193132	
0.058975	0.003926	0.242974	4.944836	25.537500	48.274810	
0.060348	0.003537	0.242420	4.966558	26.012500	48.359047	
0.068866	0.008573	0.257249	4.876332	25.887500	48.442602	
