Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.654484	0.650603	0.496786	2.658062	7.394745	16.770261	
0.055961	0.047564	1.074730	2.794981	15.438691	17.230033	
0.029925	0.021034	1.138080	3.087137	21.477412	17.237036	
0.036338	0.027970	1.071163	3.333168	24.542870	17.194543	
0.027859	0.020429	0.951070	3.343671	27.934849	17.255839	
0.025035	0.018427	0.845884	3.296036	30.923479	17.293998	
0.023820	0.016785	0.900423	3.238576	33.670098	17.448792	
0.029263	0.020118	0.799225	3.077145	36.942993	17.342946	
0.022047	0.010418	0.744231	2.859719	40.308082	17.377056	
0.022568	0.010965	0.742628	2.703107	42.904886	17.400953	
0.030684	0.018000	0.811786	2.508831	46.108636	17.411339	
0.029258	0.015125	0.687042	2.324945	49.166411	17.415446	
0.024351	0.009088	0.651235	2.218495	51.586509	17.454746	
0.029985	0.013333	0.710475	2.097413	54.310080	17.467829	
0.027551	0.010875	0.711514	2.016451	56.361401	17.484118	
0.034556	0.012508	0.724296	1.922117	58.539490	17.533739	
0.030292	0.008394	0.700722	1.823001	60.667640	17.634160	
0.032462	0.009423	0.737244	1.711039	62.826521	17.740100	
0.031517	0.009364	0.677066	1.666768	64.401506	17.823433	
0.036861	0.010501	0.674828	1.623831	65.454057	17.872291	
0.037026	0.008115	0.740111	1.514759	67.005993	17.910203	
0.039052	0.012425	0.681651	1.451772	68.262139	17.928538	
0.036704	0.009496	0.629698	1.404420	69.817916	17.982144	
0.039004	0.008829	0.643737	1.340855	70.386447	18.043572	
0.039224	0.009096	0.642728	1.277555	71.865396	18.039225	
0.037418	0.007206	0.644522	1.269189	71.853872	18.078681	
