Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.412008	0.386087	3.317890	2.133522	22.770000	17.900837	
0.055488	0.032411	2.953874	2.172152	28.990000	17.140590	
0.046623	0.024273	2.860898	2.352768	34.040000	17.577932	
0.041115	0.020777	2.603207	2.581263	36.470000	17.500362	
0.037692	0.017592	2.572787	2.784465	37.010000	17.741154	
0.038448	0.018570	2.544269	2.901436	37.340000	17.209688	
0.036770	0.017890	2.416705	2.986979	37.410000	17.342145	
0.049359	0.021160	2.535234	2.991588	37.630000	17.470421	
0.045725	0.012621	2.135819	2.988651	38.150000	17.774260	
0.050942	0.016347	2.214099	2.981659	38.430000	17.890068	
0.048403	0.013590	2.228060	2.933547	38.280000	17.889737	
0.064931	0.019785	2.188251	2.862582	38.600000	18.019925	
0.060662	0.013397	2.026277	2.801586	38.750000	18.537601	
0.067529	0.017413	2.138257	2.809452	38.570000	18.096952	
0.056611	0.010042	1.986932	2.784208	38.500000	18.460495	
0.078083	0.016822	1.997051	2.787969	38.750000	18.061142	
0.073768	0.012003	1.982608	2.789327	39.150000	18.323067	
0.075951	0.013556	1.996622	2.756486	39.100000	18.353354	
0.081386	0.016632	1.971954	2.749957	39.220000	18.579563	
0.090447	0.014486	1.949946	2.748763	39.070000	18.513252	
0.084876	0.010448	1.905356	2.694685	39.400000	18.786350	
0.084361	0.010206	1.898369	2.680359	39.470000	18.515144	
0.095460	0.014333	1.888373	2.692525	39.670000	18.916696	
0.102598	0.013273	1.911428	2.658044	39.930000	18.991563	
0.094534	0.009691	1.809973	2.629052	40.260000	18.219515	
0.098375	0.012810	1.825398	2.625322	40.410000	18.322049	
0.113566	0.014348	1.862761	2.639689	40.420000	19.493647	
0.110843	0.009871	1.850450	2.633199	40.390000	17.981819	
0.112429	0.012085	1.834862	2.585954	41.130000	18.555055	
0.110045	0.009754	1.795755	2.565829	41.150000	18.516490	
0.126188	0.012997	1.814365	2.524886	41.850000	20.123699	
0.122575	0.011399	1.778823	2.500925	42.350000	19.232076	
0.124990	0.012382	1.801731	2.474415	42.280000	19.235195	
0.129151	0.009950	1.794833	2.485419	42.620000	19.979542	
0.134969	0.010922	1.767248	2.490904	42.530000	19.246046	
0.135227	0.011362	1.761636	2.504758	42.350000	18.891751	
0.133459	0.010771	1.744897	2.464205	42.530000	18.512483	
0.144743	0.011504	1.728363	2.440870	43.000000	19.813390	
0.142753	0.010789	1.691954	2.407811	43.370000	19.320941	
0.145004	0.010519	1.721398	2.388797	43.610000	19.926201	
0.147096	0.011013	1.697694	2.402525	43.340000	19.253427	
0.154602	0.009986	1.685164	2.390482	43.270000	19.795578	
0.152560	0.010625	1.651608	2.384861	43.290000	19.406276	
0.150986	0.010711	1.632288	2.395470	43.770000	18.936424	
0.166232	0.012131	1.689508	2.369104	44.050000	20.542410	
0.165348	0.011025	1.648603	2.375750	44.110000	19.505784	
0.163407	0.010544	1.630542	2.374849	44.320000	20.326989	
0.165897	0.009928	1.650174	2.351445	44.540000	19.416338	
0.177143	0.011272	1.635235	2.367375	44.640000	19.843493	
0.176446	0.010422	1.634695	2.374280	44.620000	20.257158	
