Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.159196	0.130421	3.683267	3.059705	9.615089	19.255840	
0.043352	0.020142	2.970838	4.120106	10.237400	18.573521	
0.056429	0.033831	2.892442	4.882384	10.264290	18.720742	
0.033113	0.012458	2.643819	5.108340	10.437154	18.382626	
0.024813	0.006526	2.340673	5.215609	10.325753	19.255281	
0.061412	0.040907	2.624745	5.618480	10.260449	19.445255	
0.022867	0.002991	2.544096	5.394881	10.579287	18.837575	
0.030075	0.005518	2.223651	5.151039	10.840504	19.205595	
0.047485	0.012290	2.270706	4.991898	10.725261	19.341773	
0.062204	0.025156	2.371105	4.948744	10.725261	19.435279	
0.046531	0.010217	2.324142	4.907850	11.178549	19.665681	
0.049817	0.004240	2.201360	4.637347	11.359096	18.872939	
0.058806	0.009149	2.130352	4.493114	11.447449	18.857911	
0.070327	0.017262	2.264132	4.482034	11.320682	19.212313	
0.056662	0.005854	2.167811	4.376568	11.401352	19.454871	
0.072739	0.008840	2.084340	4.173601	11.428242	18.849811	
0.070905	0.007549	2.035786	4.176946	11.336048	19.339250	
0.070231	0.006203	2.048905	4.136143	11.793178	18.788283	
0.073788	0.006574	2.051155	4.067985	11.877689	18.924822	
0.089009	0.008044	2.079511	4.042907	11.958359	19.046995	
0.083555	0.004624	2.020648	3.958360	12.549939	19.543249	
0.083568	0.005651	1.994683	3.930812	12.350184	18.853500	
0.094559	0.008914	1.997256	3.973884	12.330977	19.223582	
0.105076	0.009676	2.039818	3.901307	13.014751	19.376403	
0.102064	0.007627	2.014659	3.892262	13.717732	20.127510	
0.099585	0.006256	1.991015	3.874181	13.226030	19.888909	
0.104989	0.004224	1.895766	3.898397	13.114628	20.843078	
0.106658	0.005083	1.861552	3.901350	12.914874	20.345136	
0.113882	0.005808	1.976206	3.871546	12.960971	19.432571	
0.118337	0.010979	1.921522	3.783609	13.222188	19.563528	
0.126475	0.007768	1.903620	3.767762	13.529502	19.426085	
0.119050	0.003773	1.844441	3.828006	13.809926	18.767772	
0.116453	0.004593	1.789752	3.797835	13.087738	19.626740	
0.131362	0.006120	1.886515	3.842974	12.922557	19.811292	
0.136829	0.005526	1.870723	3.856721	13.310541	19.860155	
0.133338	0.005532	1.817692	3.789476	13.498771	19.767988	
0.128031	0.004212	1.760971	3.678561	15.039183	19.934134	
0.143031	0.007835	1.753275	3.583820	15.150584	20.152551	
0.130218	0.004479	1.611859	3.620466	13.629379	20.814147	
0.151839	0.008303	1.837256	3.485488	14.025046	20.301532	
0.138090	0.004293	1.669885	3.492295	14.862477	20.557348	
0.150129	0.004290	1.699305	3.536935	14.820221	18.433687	
0.155553	0.005290	1.748513	3.606466	14.117240	19.743577	
0.135730	0.004676	1.524993	3.706114	12.826521	19.672967	
0.161088	0.005434	1.708296	3.731097	12.661340	20.574593	
0.155275	0.004987	1.605628	3.824403	12.334819	20.296741	
0.160751	0.005746	1.653385	3.708385	12.607560	21.149582	
0.142161	0.003841	1.463648	3.737556	12.223417	20.387459	
0.163288	0.005608	1.554633	3.677580	13.567916	20.690890	
0.167504	0.004215	1.607777	3.674020	13.898279	19.620558	
0.159030	0.004643	1.520117	3.787576	12.665181	20.638434	
0.185045	0.008247	1.668986	3.598257	13.521819	20.997279	
0.169780	0.004960	1.508798	3.647660	13.621696	20.122448	
0.172909	0.005697	1.528796	3.761230	14.040412	21.484588	
0.175599	0.003554	1.572271	3.803479	14.551321	19.777828	
0.189891	0.005511	1.574785	3.890144	13.848341	20.028751	
0.182239	0.004250	1.518843	3.829605	14.267056	20.301866	
0.175868	0.004513	1.462223	3.800811	14.424554	20.014322	
0.203074	0.006805	1.622044	3.737140	13.978949	20.691943	
0.206219	0.004623	1.614275	3.831443	13.633221	20.205180	
