Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.378188	0.378188	0.000000	2.309884	20.000000	2.291540	19.770000	14.877173	
0.001821	0.001821	0.000000	2.214268	28.760000	2.178483	29.570000	14.830212	
0.000510	0.000510	0.000000	2.266699	35.200000	2.229210	36.400000	14.763747	
0.000416	0.000416	0.000000	2.340088	36.780000	2.303279	37.930000	14.834605	
0.554258	0.554258	0.000000	2.757028	15.640000	2.727077	15.640000	14.776833	
0.067068	0.067068	0.000000	2.664427	20.740000	2.621459	21.310000	14.804490	
0.008708	0.008708	0.000000	2.773361	25.320000	2.709536	25.820000	14.730717	
0.029827	0.029827	0.000000	2.794975	29.460000	2.717196	30.220000	14.775373	
0.025497	0.025497	0.000000	2.876178	34.900000	2.800774	35.850000	14.824926	
0.014129	0.014129	0.000000	3.015321	37.520000	2.941387	38.210000	14.803874	
0.000360	0.000360	0.000000	3.093163	38.340000	3.029755	39.220000	14.865666	
0.000346	0.000346	0.000000	3.082457	38.340000	3.025739	38.250000	14.888162	
0.404225	0.404225	0.000000	2.953148	12.200000	2.913434	12.420000	14.896983	
0.169113	0.169113	0.000000	3.187127	20.040000	3.131237	20.680000	14.957822	
0.036021	0.036021	0.000000	3.347132	24.700000	3.266500	25.400000	14.959375	
0.016778	0.016778	0.000000	3.474165	29.360000	3.382863	30.180000	14.939698	
0.021040	0.021040	0.000000	3.553614	32.140000	3.458470	33.100000	14.917573	
0.000592	0.000592	0.000000	3.646011	33.000000	3.554694	33.280000	14.929606	
0.000389	0.000389	0.000000	3.773567	30.020000	3.685688	31.240000	14.969112	
0.107014	0.107014	0.000000	3.738029	22.840000	3.657297	23.800000	15.003288	
0.190673	0.190673	0.000000	3.487760	26.960000	3.380814	28.590000	15.022118	
0.001566	0.001566	0.000000	3.707372	30.320000	3.584656	32.490000	15.049018	
0.028032	0.028032	0.000000	3.501500	34.400000	3.404451	36.190000	15.027773	
