index, salutary label, ground truth
11,1,8
13,5,7
14,7,4
20,7,5
24,7,4
26,6,2
32,0,4
38,0,2
39,6,4
42,7,4
49,6,2
52,7,4
60,6,5
62,1,9
66,1,9
83,6,4
98,5,3
101,5,2
108,7,5
115,9,1
116,3,0
117,4,2
134,5,3
137,1,0
144,4,2
169,1,9
178,7,4
183,6,2
191,6,1
194,8,4
208,5,3
210,5,3
213,7,4
217,3,2
222,4,3
224,7,2
229,6,3
235,7,4
241,5,7
254,0,2
257,8,0
267,5,3
271,0,4
281,1,2
294,5,7
303,6,2
311,8,7
316,0,2
326,5,3
328,7,4
340,1,6
369,0,6
372,7,4
377,6,2
379,5,7
386,6,2
389,1,9
392,8,6
400,4,2
405,5,7
406,4,6
432,9,0
439,5,3
445,6,2
472,7,4
483,9,3
484,6,0
488,0,9
491,5,7
510,8,3
511,5,0
517,4,2
522,7,4
533,8,0
541,4,2
548,7,3
553,8,1
559,7,4
560,5,7
569,7,4
580,7,2
588,6,4
592,7,4
607,4,2
616,5,3
621,6,4
623,8,0
626,1,9
634,0,4
635,8,6
638,8,0
644,7,4
648,0,2
650,6,3
658,3,5
664,5,3
671,0,2
675,7,2
680,9,2
689,3,5
695,8,9
704,6,4
712,7,0
736,7,4
737,8,0
757,1,7
765,0,8
767,5,2
769,1,9
778,8,1
788,0,2
791,6,2
802,0,2
803,5,7
807,5,3
817,6,3
818,7,4
822,5,3
843,8,0
845,0,4
847,1,9
854,9,1
857,8,0
864,5,3
865,5,3
871,7,3
876,0,2
885,6,4
891,5,3
893,2,3
904,7,4
922,2,4
935,7,4
941,2,4
943,9,7
944,5,3
949,6,3
951,3,0
959,1,8
970,2,3
975,1,8
978,9,2
980,6,2
1001,7,6
1004,6,2
1009,7,4
1017,2,6
1021,7,4
1024,5,3
1032,6,2
1044,6,3
1066,7,4
1072,1,9
1082,5,7
1084,6,0
1086,5,3
1092,5,3
1096,1,2
1103,5,3
1105,6,3
1106,0,7
1110,1,9
1112,7,5
