Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.336992	0.336992	0.000000	2.222958	21.780000	2.213903	21.250000	15.063907	
0.018946	0.018946	0.000000	2.285511	27.680000	2.274316	28.410000	15.018776	
0.000428	0.000428	0.000000	2.427659	33.440000	2.419518	33.790000	15.030471	
0.199061	0.199061	0.000000	2.781804	28.640000	2.801380	28.570000	15.039576	
0.019970	0.019970	0.000000	2.885391	33.080000	2.926856	32.950000	14.972715	
0.000591	0.000591	0.000000	3.047110	35.480000	3.106350	35.110000	14.977806	
0.047411	0.047411	0.000000	3.001216	35.660000	3.068148	35.530000	14.956639	
0.027012	0.027012	0.000000	3.134095	36.820000	3.175345	36.890000	14.948215	
0.023687	0.023687	0.000000	3.239126	37.740000	3.263678	37.820000	14.967223	
0.000467	0.000467	0.000000	3.308011	38.040000	3.329226	37.870000	14.952234	
1.788035	1.706914	0.324484	2.901108	10.000000	2.894627	10.000000	113.922437	
0.643298	0.569847	0.293805	3.338002	9.840000	3.319489	9.600000	112.974183	
0.556822	0.443377	0.453776	3.428618	10.160000	3.407431	10.010000	112.236831	
0.247980	0.171455	0.306099	3.433944	12.380000	3.406121	12.290000	111.862203	
0.086468	0.045067	0.165604	3.211319	14.860000	3.185710	15.750000	111.552726	
0.097638	0.063691	0.135790	2.937427	19.720000	2.913470	20.260000	111.519959	
5.535286	0.950672	4.584613	2.298659	16.720000	2.297965	16.680000	67.477761	
4.255986	0.061399	4.194586	2.334171	13.040000	2.333098	13.070000	68.020517	
3.944459	0.030124	3.914335	2.408133	11.860000	2.408367	12.180000	68.259219	
3.561142	0.023628	3.537514	2.445960	11.780000	2.450503	11.820000	68.456316	
3.056000	0.017785	3.038215	2.468266	10.960000	2.475721	11.640000	68.509681	
5.549007	0.962888	4.586118	2.303468	17.120000	2.300801	17.190000	68.293007	
4.272709	0.065138	4.207571	2.327360	13.600000	2.324158	14.020000	68.623318	
3.960631	0.029267	3.931363	2.405176	12.360000	2.402930	12.130000	68.887934	
3.560875	0.022856	3.538019	2.452058	11.920000	2.449918	11.570000	69.049684	
3.057829	0.018786	3.039043	2.472557	12.380000	2.470423	11.800000	69.042223	
2.594270	0.014484	2.579785	2.506799	12.800000	2.504433	11.890000	69.078824	
2.300586	0.011615	2.288971	2.608628	12.400000	2.605224	11.780000	69.026802	
2.141935	0.010116	2.131819	2.828911	11.720000	2.823449	11.550000	68.957626	
2.033890	0.008327	2.025563	3.122507	11.720000	3.115096	11.850000	68.984050	
1.972557	0.008178	1.964379	3.436705	11.860000	3.441044	12.140000	68.961811	
