Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.331354	0.331354	0.000000	2.202725	18.260000	2.187146	18.860000	15.224703	
0.031877	0.031877	0.000000	2.355080	25.460000	2.312629	27.050000	14.734992	
1.010623	0.059319	4.756523	1.922515	33.960000	1.900631	33.870000	34.372402	
0.886351	0.024492	4.309300	1.714590	38.300000	1.701692	38.860000	34.386835	
0.853148	0.013767	4.196908	1.617153	42.900000	1.616225	42.370000	34.375919	
0.860463	0.025043	4.177101	1.603052	44.060000	1.610306	43.350000	34.488078	
0.824487	0.009180	4.076531	1.568624	45.920000	1.580654	45.220000	34.535879	
0.811617	0.008810	4.014035	1.547895	47.300000	1.562051	46.460000	34.567333	
0.807910	0.009276	3.993170	1.525876	47.860000	1.543729	46.980000	34.617749	
0.797301	0.007754	3.947733	1.503160	48.380000	1.524894	47.350000	34.646190	
0.795505	0.009209	3.931482	1.477969	49.380000	1.505204	47.960000	34.678802	
0.785274	0.007486	3.888941	1.463405	49.740000	1.495812	48.290000	34.688031	
0.777454	0.006899	3.852776	1.455668	50.280000	1.492980	48.740000	34.690193	
0.771211	0.006878	3.821662	1.451128	50.520000	1.493090	48.590000	34.702882	
0.762682	0.006136	3.782730	1.455661	50.620000	1.503322	48.260000	34.718043	
0.759826	0.006532	3.766471	1.459242	50.980000	1.512778	48.140000	34.738754	
0.749840	0.005988	3.719258	1.469217	50.920000	1.526161	48.050000	34.749703	
0.744491	0.005717	3.693870	1.483184	50.540000	1.539860	47.670000	34.770012	
0.741139	0.006283	3.674281	1.494239	50.540000	1.554808	47.330000	34.775482	
0.734662	0.006018	3.643221	1.507050	50.380000	1.567917	47.250000	34.781516	
0.726929	0.005343	3.607932	1.520657	50.400000	1.585321	46.800000	34.796971	
0.725674	0.006228	3.597231	1.524909	49.960000	1.590384	46.910000	34.796788	
0.716094	0.005696	3.551990	1.542603	49.560000	1.607709	46.420000	34.797573	
0.708268	0.005062	3.516031	1.556409	49.740000	1.625382	46.010000	34.801487	
0.701554	0.004963	3.482958	1.578455	49.640000	1.648841	45.610000	34.802513	
0.696423	0.005116	3.456536	1.590072	49.360000	1.659920	45.500000	34.804755	
0.695725	0.005269	3.452279	1.602984	48.920000	1.678390	45.610000	34.810927	
0.685631	0.004870	3.403800	1.628060	48.580000	1.708302	45.120000	34.819490	
0.678729	0.004668	3.370307	1.649761	48.620000	1.729033	44.830000	34.822292	
0.675404	0.004829	3.352875	1.667673	48.460000	1.743420	44.700000	34.827434	
0.665889	0.004444	3.307222	1.688962	48.060000	1.761730	44.600000	34.825029	
0.660806	0.004534	3.281362	1.716273	47.420000	1.787035	44.440000	34.827267	
0.656132	0.004420	3.258564	1.740707	47.120000	1.816106	44.290000	34.826135	
0.651014	0.004596	3.232086	1.761233	46.920000	1.842726	43.870000	34.830051	
0.645470	0.004765	3.203525	1.776525	46.480000	1.858138	43.730000	34.836364	
0.638543	0.004361	3.170912	1.797935	46.480000	1.879595	43.720000	34.841019	
0.634112	0.004537	3.147875	1.831512	46.160000	1.914598	43.290000	34.843263	
0.627687	0.004309	3.116890	1.857253	46.140000	1.941434	42.950000	34.842695	
0.624984	0.004619	3.101823	1.862442	45.840000	1.949293	43.100000	34.845700	
0.617657	0.004229	3.067140	1.889666	45.980000	1.974734	42.730000	34.848062	
0.614905	0.004576	3.051645	1.899401	45.520000	1.984932	42.580000	34.849434	
0.607814	0.004047	3.018837	1.925927	45.160000	2.016359	42.330000	34.847229	
0.603401	0.004208	2.995963	1.962502	44.520000	2.050702	41.970000	34.849241	
0.600496	0.004457	2.980197	1.981745	44.340000	2.066182	42.150000	34.850839	
0.596983	0.004462	2.962608	2.003945	44.080000	2.091769	41.500000	34.855499	
0.591208	0.004252	2.934783	2.025358	44.280000	2.114176	41.140000	34.857835	
