Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.510867	0.510867	0.000000	2.401473	18.660000	15.199169	
0.008865	0.008865	0.000000	2.433521	24.930000	15.411625	
0.014115	0.014115	0.000000	2.531057	31.360000	15.609958	
0.000761	0.000761	0.000000	2.655818	36.020000	15.563328	
0.001262	0.001262	0.000000	2.726423	38.170000	15.507679	
0.029724	0.029724	0.000000	2.766271	39.770000	15.460207	
0.000694	0.000694	0.000000	2.855118	40.170000	15.438786	
0.000347	0.000347	0.000000	2.840025	40.210000	15.469453	
0.000367	0.000367	0.000000	2.776478	40.250000	15.513984	
0.000368	0.000368	0.000000	2.695068	39.450000	15.512006	
0.441786	0.441786	0.000000	2.722517	17.560000	15.550424	
0.124142	0.124142	0.000000	3.851702	15.510000	15.597816	
0.026439	0.026439	0.000000	4.194422	21.160000	15.562830	
0.001180	0.001180	0.000000	3.722137	28.930000	15.547800	
0.023373	0.023373	0.000000	3.576548	33.090000	15.561066	
0.000992	0.000992	0.000000	3.576001	35.370000	15.543221	
0.000428	0.000428	0.000000	3.584082	36.070000	15.584060	
0.000366	0.000366	0.000000	3.598988	35.650000	15.614505	
0.000417	0.000417	0.000000	3.621105	34.320000	15.643951	
0.253743	0.253743	0.000000	3.767828	27.540000	15.684151	
0.018987	0.018987	0.000000	3.766862	32.200000	15.711024	
0.000865	0.000865	0.000000	3.753640	35.020000	15.746894	
0.024850	0.024850	0.000000	3.724506	36.060000	15.771387	
0.013026	0.013026	0.000000	3.793229	37.160000	15.784446	
0.000379	0.000379	0.000000	3.859768	37.290000	15.804949	
0.000389	0.000389	0.000000	3.873324	36.550000	15.805832	
0.000340	0.000340	0.000000	3.908139	35.340000	15.826998	
0.142633	0.142633	0.000000	3.619695	31.330000	15.856307	
0.019126	0.019126	0.000000	3.723862	34.000000	15.876409	
0.001043	0.001043	0.000000	3.749996	36.460000	15.879426	
0.001106	0.001106	0.000000	3.849233	36.810000	15.878794	
0.092017	0.092017	0.000000	3.849085	35.610000	15.900056	
0.002267	0.002267	0.000000	3.900661	37.000000	15.908859	
0.017381	0.017381	0.000000	3.901271	37.630000	15.915259	
0.009259	0.009259	0.000000	3.859057	38.420000	15.914489	
0.000360	0.000360	0.000000	3.846182	38.260000	15.939509	
0.000598	0.000598	0.000000	3.831204	37.550000	15.937004	
0.024334	0.024334	0.000000	3.762613	38.030000	15.944305	
0.000387	0.000387	0.000000	3.761484	38.080000	15.948123	
0.000296	0.000296	0.000000	3.719707	37.550000	15.941942	
0.086004	0.086004	0.000000	3.838827	34.040000	15.945526	
0.021796	0.021796	0.000000	4.170421	33.640000	15.960263	
0.009296	0.009296	0.000000	4.011784	35.970000	15.969922	
0.000362	0.000362	0.000000	3.864328	37.410000	15.980327	
0.000290	0.000290	0.000000	3.822721	37.660000	15.986339	
0.000302	0.000302	0.000000	3.840983	36.750000	15.991183	
0.000318	0.000318	0.000000	3.954794	35.080000	15.986733	
0.150491	0.150491	0.000000	4.336646	26.710000	16.000670	
0.006386	0.006386	0.000000	4.288011	31.930000	16.000319	
0.010820	0.010820	0.000000	4.059075	35.780000	16.027475	
0.010247	0.010247	0.000000	3.953269	37.430000	16.032743	
0.000336	0.000336	0.000000	3.882514	38.060000	16.049548	
0.019369	0.019369	0.000000	3.777987	38.150000	16.045950	
0.000887	0.000887	0.000000	3.723872	38.340000	16.062470	
0.000390	0.000390	0.000000	3.691370	37.980000	16.049380	
0.010426	0.010426	0.000000	3.669767	37.290000	16.048122	
0.036310	0.036310	0.000000	3.674283	37.690000	16.062964	
0.019869	0.019869	0.000000	3.704729	38.290000	16.077646	
0.000696	0.000696	0.000000	3.697017	38.750000	16.089692	
0.000305	0.000305	0.000000	3.674923	38.370000	16.092984	
0.000264	0.000264	0.000000	3.639086	37.360000	16.098944	
0.000266	0.000266	0.000000	3.655178	35.820000	16.087497	
0.000265	0.000265	0.000000	3.760671	33.820000	16.089596	
0.326775	0.326775	0.000000	3.169416	16.090000	16.090377	
0.122867	0.122867	0.000000	5.551942	14.260000	16.103084	
0.026311	0.026311	0.000000	5.983558	16.080000	16.107771	
0.000748	0.000748	0.000000	5.158703	22.940000	16.117712	
0.000445	0.000445	0.000000	4.615770	28.820000	16.123179	
0.027100	0.027100	0.000000	4.309067	31.880000	16.134414	
0.022525	0.022525	0.000000	4.056908	35.660000	16.142044	
0.000533	0.000533	0.000000	4.001636	37.160000	16.154527	
0.000398	0.000398	0.000000	3.955053	37.470000	16.170207	
0.000317	0.000317	0.000000	3.917372	36.720000	16.171606	
0.000317	0.000317	0.000000	3.934893	35.070000	16.183283	
0.245387	0.245387	0.000000	5.242330	17.650000	16.178257	
0.024320	0.024320	0.000000	5.018076	23.320000	16.172148	
0.001063	0.001063	0.000000	4.398984	30.110000	16.178979	
0.016030	0.016030	0.000000	4.154219	34.380000	16.181492	
0.012262	0.012262	0.000000	4.075741	36.640000	16.184036	
0.000579	0.000579	0.000000	4.087297	36.980000	16.186106	
0.000289	0.000289	0.000000	4.071125	36.460000	16.194693	
0.017417	0.017417	0.000000	3.974734	36.460000	16.196505	
0.017023	0.017023	0.000000	3.894501	38.000000	16.204487	
0.000308	0.000308	0.000000	3.879385	38.490000	16.208352	
0.000254	0.000254	0.000000	3.826176	37.960000	16.210169	
0.000255	0.000255	0.000000	3.759111	37.400000	16.215320	
0.000280	0.000280	0.000000	3.725947	35.910000	16.218715	
0.109928	0.109928	0.000000	3.445740	28.280000	16.226863	
0.197049	0.197049	0.000000	3.968505	19.470000	16.230623	
0.023317	0.023317	0.000000	4.440147	23.620000	16.237952	
0.003149	0.003149	0.000000	4.297825	28.780000	16.247224	
0.000345	0.000345	0.000000	3.989293	33.020000	16.253695	
0.000401	0.000401	0.000000	3.890269	34.790000	16.257960	
0.000330	0.000330	0.000000	3.899201	34.100000	16.263299	
0.034741	0.034741	0.000000	3.770356	35.210000	16.260623	
0.023205	0.023205	0.000000	3.711330	37.320000	16.254726	
0.008362	0.008362	0.000000	3.716853	38.680000	16.261566	
0.000338	0.000338	0.000000	3.712604	39.260000	16.257867	
0.000212	0.000212	0.000000	3.661924	39.030000	16.252785	
0.000375	0.000375	0.000000	3.630735	37.860000	16.251312	
5.541953	0.819411	4.722543	2.574674	14.610000	141.730207	
4.451995	0.040541	4.411454	2.312172	21.350000	889.729968	
4.189961	0.021826	4.168135	2.318175	20.580000	1104.025801	
4.080005	0.016729	4.063276	2.487554	16.980000	1119.718135	
4.001462	0.016952	3.984510	2.661031	13.010000	1095.684739	
4.015584	0.063855	3.951729	2.757427	12.690000	1066.360528	
3.825600	0.011987	3.813613	2.860900	13.280000	1012.054879	
3.790174	0.021784	3.768389	2.878520	14.400000	958.980943	
3.704214	0.011536	3.692678	2.882370	16.080000	916.486736	
2.896426	0.057287	2.839139	2.877102	16.730000	881.389039	
2.739539	0.130062	2.609477	2.955050	18.550000	826.645310	
1.250530	0.007218	1.243311	3.434747	19.280000	781.180123	
1.888640	0.192528	1.696112	3.149682	20.000000	744.654813	
0.310822	0.004508	0.306314	4.013020	18.740000	716.704642	
1.597030	0.366922	1.230108	3.803236	14.160000	695.504997	
