Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.346308	0.346308	0.000000	2.489248	21.880000	2.462290	22.090000	21.050234	
0.027476	0.027476	0.000000	2.777513	34.360000	2.777997	34.800000	22.322179	
0.018561	0.018561	0.000000	3.068443	38.360000	3.085289	38.340000	22.769160	
0.017185	0.017185	0.000000	3.215360	39.540000	3.212148	39.450000	22.607284	
0.002183	0.002183	0.000000	3.214853	39.860000	3.213186	40.270000	22.671364	
0.037833	0.037833	0.000000	3.099295	39.820000	3.092941	40.000000	23.050930	
0.016513	0.016513	0.000000	3.114906	40.540000	3.108168	40.950000	23.253812	
0.002551	0.002551	0.000000	3.118216	40.600000	3.116072	40.860000	23.457721	
0.019477	0.019477	0.000000	2.951731	39.780000	2.953059	40.180000	23.441903	
0.005602	0.005602	0.000000	2.989417	41.200000	2.960242	41.490000	23.564107	
0.029128	0.029128	0.000000	3.036518	41.140000	2.994210	41.430000	23.503397	
0.000372	0.000372	0.000000	3.007022	40.980000	2.977763	41.480000	23.491155	
0.000358	0.000358	0.000000	2.852570	40.440000	2.841407	41.200000	23.647776	
0.000477	0.000477	0.000000	2.759657	40.040000	2.763956	40.560000	23.745339	
0.261509	0.261509	0.000000	4.947643	11.680000	4.937147	11.710000	23.724580	
0.028082	0.028082	0.000000	3.360729	29.580000	3.349109	30.030000	23.772237	
0.001073	0.001073	0.000000	3.315410	36.580000	3.278369	37.980000	23.770367	
0.024078	0.024078	0.000000	3.387756	38.300000	3.341974	39.450000	23.950584	
0.014550	0.014550	0.000000	3.498791	39.100000	3.437994	40.040000	23.956491	
0.019248	0.019248	0.000000	3.479230	39.940000	3.423362	40.480000	24.074775	
0.000752	0.000752	0.000000	3.489652	39.360000	3.455236	40.030000	24.156937	
0.012818	0.012818	0.000000	3.316133	38.700000	3.288374	39.400000	24.304072	
0.005332	0.005332	0.000000	3.319398	39.420000	3.276339	40.360000	24.295393	
0.000425	0.000425	0.000000	3.188500	39.200000	3.142557	40.030000	24.337846	
0.036786	0.036786	0.000000	3.049757	36.640000	3.039097	38.320000	24.341119	
0.000606	0.000606	0.000000	3.160298	39.140000	3.145466	40.460000	24.374133	
0.024379	0.024379	0.000000	3.047826	39.840000	3.011058	40.440000	24.435867	
0.005181	0.005181	0.000000	3.221309	40.280000	3.171472	41.210000	24.589037	
0.000436	0.000436	0.000000	3.148124	40.240000	3.104538	41.000000	24.690876	
0.000379	0.000379	0.000000	3.014529	39.020000	2.976743	40.120000	24.764156	
0.334776	0.088128	0.822160	2.822504	32.220000	2.813801	33.050000	356.504625	
0.178452	0.033387	0.483550	2.901463	39.240000	2.922848	39.780000	356.472566	
0.176868	0.020235	0.522110	2.727457	45.480000	2.748115	45.690000	358.743949	
0.142622	0.017647	0.416583	2.851964	45.600000	2.907811	46.470000	359.272843	
0.141429	0.015719	0.419035	2.991444	46.440000	2.970875	47.000000	360.263503	
0.124723	0.012750	0.373243	2.767445	47.760000	2.733903	48.000000	360.529820	
0.119596	0.014386	0.350701	2.711658	49.540000	2.725788	49.590000	360.980374	
