Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
1.631338	1.631335	0.019761	2.190565	24.350000	
1.127146	1.127135	0.025742	2.131176	25.950000	
0.932181	0.932165	0.023280	2.062321	27.220000	
0.880811	0.880788	0.022896	1.992957	29.710000	
0.857449	0.857419	0.023334	1.900541	33.290000	
0.785092	0.785054	0.023721	1.804988	37.280000	
0.789549	0.789504	0.024071	1.734447	40.200000	
0.797319	0.797265	0.025239	1.695683	41.810000	
0.758578	0.758519	0.024338	1.698602	42.200000	
0.747414	0.747347	0.024604	1.691004	43.100000	
0.728479	0.728402	0.025431	1.686060	44.670000	
0.733056	0.732967	0.027045	1.695257	45.250000	
0.673570	0.673470	0.027936	1.720083	45.670000	
0.689202	0.689020	0.027177	1.750684	45.450000	
0.691008	0.690768	0.029370	1.757268	46.010000	
0.687695	0.687425	0.030391	1.768978	46.370000	
0.663694	0.663415	0.029516	1.750782	47.130000	
0.646195	0.645871	0.032354	1.751125	47.670000	
0.665276	0.664965	0.029399	1.761342	47.560000	
0.650536	0.650171	0.030759	1.771543	48.080000	
0.634971	0.634503	0.026992	1.773636	48.440000	
0.658497	0.657996	0.027195	1.764304	49.260000	
0.641918	0.641374	0.028143	1.765639	49.760000	
0.645757	0.645184	0.028402	1.782266	49.480000	
0.628728	0.628146	0.027705	1.771836	49.850000	
0.599470	0.598821	0.029633	1.777246	49.730000	
0.595485	0.594748	0.027125	1.790722	50.060000	
0.618950	0.618151	0.025626	1.760771	50.420000	
0.591438	0.590541	0.027506	1.741955	50.830000	
0.604163	0.603286	0.025983	1.763759	50.920000	
0.589703	0.588722	0.028120	1.755089	51.320000	
0.588239	0.587252	0.027386	1.746137	51.830000	
0.588005	0.586945	0.027846	1.751539	51.800000	
0.599327	0.598090	0.025980	1.767021	51.990000	
0.583801	0.582561	0.025122	1.771501	52.340000	
0.603304	0.602006	0.025549	1.767783	52.360000	
0.584128	0.582804	0.025362	1.767353	52.410000	
0.566245	0.564854	0.025926	1.757114	52.340000	
0.592409	0.590998	0.025627	1.742027	52.550000	
0.594729	0.593138	0.025131	1.734410	52.690000	
0.599707	0.597994	0.024778	1.743072	52.620000	
0.593137	0.591428	0.023978	1.776300	52.620000	
0.536795	0.534961	0.025134	1.765135	52.690000	
