Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
1.328826	1.328822	0.027070	2.517818	8.289797	
0.878478	0.878467	0.027212	2.525697	8.762293	
0.804719	0.804699	0.027750	2.593556	9.011985	
0.686357	0.686329	0.027493	2.723552	9.288568	
0.677597	0.677561	0.028284	2.946264	9.507529	
0.635625	0.635576	0.030828	3.240942	10.210510	
0.597315	0.597260	0.029868	3.562336	11.458974	
0.590907	0.590843	0.029901	3.870469	12.953288	
0.546053	0.545981	0.029899	4.146267	14.378457	
0.543798	0.543723	0.027682	4.426976	15.550092	
0.562739	0.562661	0.026012	4.721616	16.806238	
0.521831	0.521743	0.026866	5.092018	17.739705	
0.508219	0.508130	0.024781	5.438509	18.016288	
0.515769	0.515675	0.024485	5.755817	18.212200	
0.519127	0.519028	0.024065	6.058989	18.504149	
0.511874	0.511772	0.022832	6.356696	18.484942	
0.490638	0.490531	0.022700	6.534431	18.227566	
0.493813	0.493695	0.023460	6.633122	18.262139	
0.500016	0.499907	0.020584	6.745076	18.269822	
0.483945	0.483832	0.020282	6.769670	18.077750	
0.488685	0.488561	0.021109	6.792241	18.066226	
0.497493	0.497370	0.020053	6.763313	17.839582	
0.492647	0.492519	0.019819	6.633578	18.039336	
0.490550	0.490425	0.018602	6.503457	18.300553	
0.499980	0.499849	0.018709	6.477501	18.454210	
0.490255	0.490114	0.019299	6.390932	18.638599	
0.480223	0.479792	0.030090	6.329803	18.580977	
0.475874	0.475349	0.033621	6.087442	18.776890	
0.496907	0.496343	0.034595	5.884096	18.976644	
0.492139	0.491566	0.033985	5.697718	19.080363	
0.483832	0.483241	0.033869	5.544736	19.141825	
0.464734	0.464129	0.033564	5.371143	19.003534	
0.495734	0.495146	0.031602	5.310879	19.130301	
0.466671	0.466015	0.034209	5.263708	19.195605	
0.479545	0.478903	0.032556	5.172589	19.641211	
0.476756	0.476109	0.031859	5.148539	19.764136	
0.465261	0.464544	0.034343	5.113522	19.741088	
0.459503	0.458766	0.034312	4.990453	19.883221	
0.469320	0.468520	0.035220	5.019329	20.009988	
0.470901	0.469855	0.031205	4.936899	19.890903	
0.473296	0.472231	0.030626	4.843790	20.171328	
0.476047	0.474964	0.030400	4.801362	20.505532	
0.457608	0.456499	0.030392	4.699170	20.693762	
0.486374	0.485248	0.030151	4.648028	20.536263	
0.455228	0.454043	0.031022	4.629067	20.770590	
0.451592	0.450390	0.030761	4.590693	20.832053	
