Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
1.156560	1.156126	0.011389	2.253731	18.080000	2.250314	18.820000	
0.950448	0.949168	0.011726	2.351419	23.960000	2.343591	24.190000	
0.885131	0.883151	0.010830	2.132456	29.360000	2.124417	29.730000	
0.826247	0.823559	0.010473	1.832456	37.120000	1.829239	37.580000	
0.835750	0.832230	0.010677	1.560831	46.580000	1.556103	46.870000	
0.868084	0.863704	0.010878	1.416447	51.900000	1.406971	52.230000	
0.805550	0.800457	0.010699	1.321912	55.500000	1.311700	55.880000	
0.784402	0.778630	0.010506	1.285590	57.060000	1.276681	57.770000	
0.772469	0.765869	0.010608	1.269497	58.300000	1.267050	58.600000	
0.772901	0.765440	0.010729	1.256760	59.180000	1.256378	59.510000	
0.737195	0.729008	0.010647	1.237282	60.020000	1.241673	60.160000	
0.776976	0.767623	0.011108	1.227796	60.720000	1.235065	60.320000	
0.773567	0.763046	0.011493	1.212959	61.200000	1.221486	60.880000	
0.708718	0.697679	0.011159	1.211794	61.280000	1.217920	61.100000	
0.715628	0.703549	0.011374	1.206361	61.760000	1.215893	61.830000	
0.731895	0.718478	0.011818	1.177946	62.360000	1.189571	62.300000	
0.759895	0.745108	0.012234	1.181120	62.780000	1.192172	62.940000	
0.725032	0.709934	0.011781	1.173975	63.000000	1.186235	63.150000	
0.713173	0.697146	0.011829	1.151634	64.200000	1.165019	64.090000	
0.711527	0.694696	0.011782	1.140115	64.580000	1.152321	64.680000	
0.722425	0.704634	0.011854	1.122624	64.980000	1.134814	65.380000	
0.725619	0.706868	0.011913	1.115565	65.140000	1.130299	65.580000	
0.703693	0.684200	0.011832	1.105567	65.700000	1.117283	65.990000	
0.714950	0.694686	0.011770	1.075441	66.580000	1.087958	67.060000	
0.708347	0.687239	0.011763	1.065176	66.920000	1.079896	67.230000	
0.718088	0.695793	0.011938	1.079514	66.760000	1.091558	67.190000	
0.676796	0.654828	0.011322	1.068821	67.240000	1.077943	67.790000	
0.710432	0.686768	0.011747	1.059373	67.700000	1.067633	68.170000	
0.686658	0.662730	0.011465	1.063665	67.460000	1.072370	68.130000	
0.699216	0.674007	0.011667	1.050782	67.760000	1.058445	68.440000	
0.690485	0.664835	0.011486	1.039355	68.240000	1.046193	69.030000	
0.684362	0.658162	0.011355	1.033207	69.100000	1.041897	69.550000	
0.702886	0.675250	0.011609	1.022128	69.340000	1.031575	69.600000	
0.718510	0.689222	0.011937	1.016981	69.620000	1.028041	69.940000	
0.676632	0.648272	0.011223	1.017989	69.940000	1.029513	70.310000	
0.691497	0.662303	0.011228	1.014934	69.500000	1.026962	70.250000	
0.668583	0.639030	0.011055	1.018911	69.620000	1.033137	70.310000	
0.666160	0.636343	0.010856	1.017334	69.920000	1.028048	70.640000	
0.687987	0.656133	0.011297	1.022006	69.860000	1.031782	70.520000	
0.679069	0.647035	0.011073	1.023524	70.080000	1.031865	70.790000	
0.682266	0.649127	0.011172	1.021360	70.080000	1.030683	70.810000	
0.678800	0.645482	0.010963	1.017838	70.340000	1.030206	70.810000	
0.679803	0.645151	0.011131	1.018463	70.520000	1.032577	70.740000	
0.671514	0.636804	0.010894	1.025088	70.640000	1.037035	70.900000	
0.662481	0.627865	0.010621	1.024632	70.660000	1.037128	71.060000	
0.682814	0.646386	0.010931	1.042234	70.820000	1.052765	70.650000	
0.665098	0.629114	0.010568	1.065538	70.300000	1.073215	70.610000	
0.703338	0.664512	0.011161	1.058465	70.680000	1.065900	70.810000	
0.677296	0.638775	0.010843	1.059418	70.380000	1.071656	70.710000	
0.664780	0.627225	0.010361	1.053671	70.260000	1.067070	70.700000	
0.686568	0.646534	0.010826	1.051837	70.820000	1.064552	71.020000	
0.686423	0.645746	0.010785	1.059538	70.700000	1.069525	70.950000	
0.693831	0.651941	0.010893	1.062180	70.940000	1.072277	70.980000	
0.675631	0.634271	0.010554	1.065641	70.760000	1.077658	70.870000	
0.677436	0.635530	0.010500	1.075584	70.640000	1.081317	70.910000	
0.681120	0.637922	0.010629	1.081078	70.640000	1.085454	70.980000	
0.675687	0.632519	0.010431	1.081508	70.900000	1.093763	70.740000	
0.661940	0.618700	0.010266	1.073873	70.900000	1.084803	71.140000	
0.670050	0.625656	0.010363	1.071954	71.060000	1.081797	71.270000	
0.675316	0.630454	0.010294	1.085609	71.000000	1.092545	71.320000	
0.687747	0.641396	0.010460	1.086253	71.460000	1.094847	71.340000	
0.677806	0.631377	0.010307	1.079549	71.160000	1.087544	71.330000	
0.666562	0.619890	0.010194	1.068071	71.240000	1.073655	71.470000	
0.664038	0.617238	0.010063	1.073175	70.980000	1.079920	71.370000	
0.685490	0.636361	0.010400	1.076202	71.360000	1.083453	71.320000	
0.677279	0.628861	0.010094	1.070537	71.400000	1.081721	71.190000	
0.691265	0.641610	0.010197	1.081561	71.740000	1.089755	71.410000	
0.654936	0.606319	0.009834	1.094067	71.740000	1.103620	71.300000	
0.678162	0.627588	0.010080	1.088252	71.800000	1.100198	71.470000	
0.678930	0.627745	0.010056	1.086210	71.540000	1.099736	71.370000	
0.672878	0.621557	0.009939	1.085217	71.820000	1.102179	71.380000	
0.680616	0.628058	0.010036	1.086712	71.580000	1.099664	71.470000	
0.650337	0.599588	0.009558	1.087280	71.720000	1.103026	71.640000	
0.700547	0.645291	0.010264	1.084852	71.680000	1.105254	71.570000	
0.685312	0.630135	0.010111	1.078962	71.700000	1.102118	71.720000	
0.721264	0.663224	0.010496	1.062743	71.820000	1.084963	71.900000	
0.676086	0.621447	0.009751	1.065414	71.700000	1.084913	71.780000	
0.665021	0.610247	0.009649	1.077561	71.840000	1.095957	71.640000	
0.701620	0.643124	0.010174	1.076057	72.020000	1.098162	71.630000	
0.708617	0.648852	0.010264	1.063518	72.140000	1.085314	72.070000	
0.682455	0.624646	0.009805	1.051885	72.400000	1.072368	72.120000	
0.665592	0.607748	0.009691	1.063090	72.220000	1.079298	72.330000	
0.678445	0.620481	0.009593	1.062947	72.400000	1.076921	72.240000	
0.673991	0.615004	0.009645	1.070716	72.380000	1.085325	72.170000	
0.678530	0.618787	0.009653	1.067565	72.200000	1.084724	72.130000	
0.692417	0.630432	0.009898	1.080622	72.200000	1.095962	72.290000	
0.700760	0.637712	0.009952	1.078787	72.220000	1.096022	72.160000	
0.679237	0.618266	0.009513	1.080579	72.300000	1.097107	72.230000	
0.695940	0.631973	0.009867	1.089576	72.160000	1.103543	71.930000	
0.706131	0.641228	0.009901	1.085112	71.940000	1.095124	72.320000	
0.705744	0.640767	0.009802	1.070460	72.080000	1.078888	72.510000	
0.676024	0.612411	0.009492	1.077754	72.000000	1.091365	72.440000	
0.682264	0.617473	0.009564	1.074535	72.180000	1.089009	72.510000	
0.687701	0.622719	0.009488	1.075400	72.260000	1.088182	72.510000	
0.672705	0.607969	0.009354	1.080411	72.120000	1.095895	72.320000	
0.681814	0.615261	0.009515	1.088064	72.520000	1.106580	72.350000	
0.696071	0.628442	0.009569	1.082300	72.260000	1.100223	72.390000	
0.689089	0.621074	0.009525	1.080590	72.020000	1.095332	72.350000	
0.678276	0.610800	0.009354	1.078395	72.140000	1.091116	72.420000	
0.696900	0.628252	0.009420	1.089038	72.160000	1.105065	72.410000	
0.694723	0.623851	0.009628	1.087679	72.020000	1.103729	72.330000	
0.708794	0.636596	0.009711	1.090086	71.980000	1.108302	72.340000	
0.703874	0.632148	0.009555	1.084358	72.160000	1.102350	72.480000	
0.683780	0.612612	0.009390	1.086751	72.160000	1.096735	72.600000	
0.695266	0.622774	0.009472	1.092129	72.740000	1.101063	72.590000	
0.696458	0.623254	0.009475	1.090334	72.380000	1.103505	72.570000	
0.707448	0.633022	0.009541	1.072025	72.560000	1.083738	73.020000	
0.695911	0.622078	0.009377	1.076051	72.740000	1.089281	73.020000	
0.697885	0.622947	0.009431	1.082457	72.440000	1.095303	72.960000	
0.717426	0.638831	0.009800	1.077504	72.280000	1.089785	72.930000	
0.680365	0.606740	0.009097	1.083207	72.380000	1.098449	72.800000	
0.689466	0.614204	0.009216	1.094307	72.340000	1.110042	72.600000	
0.704779	0.626157	0.009541	1.086414	72.520000	1.100301	72.810000	
0.684953	0.608201	0.009234	1.070083	72.640000	1.082272	73.080000	
0.699826	0.620984	0.009402	1.071718	72.680000	1.083336	73.030000	
0.701159	0.622827	0.009260	1.082724	72.560000	1.091680	73.080000	
0.697636	0.619729	0.009131	1.074385	72.660000	1.082986	73.030000	
0.674408	0.597712	0.008912	1.078577	72.320000	1.085526	72.960000	
0.692889	0.614358	0.009048	1.075710	72.680000	1.087071	73.180000	
0.707119	0.625739	0.009299	1.094113	72.460000	1.105316	72.920000	
0.705562	0.624035	0.009237	1.073748	72.480000	1.083534	73.280000	
0.719834	0.635960	0.009425	1.067524	72.620000	1.079724	73.210000	
0.712943	0.629783	0.009269	1.071195	72.680000	1.081977	72.960000	
0.704267	0.621851	0.009111	1.077094	72.660000	1.090883	73.060000	
0.684259	0.604156	0.008785	1.061923	72.700000	1.074862	73.040000	
0.696866	0.613114	0.009112	1.065778	72.860000	1.079886	73.220000	
0.686289	0.603877	0.008894	1.064406	73.260000	1.079267	73.370000	
0.692540	0.610029	0.008836	1.048804	73.460000	1.063324	73.770000	
0.699773	0.614895	0.009019	1.056725	73.360000	1.071913	73.530000	
0.712603	0.625566	0.009177	1.055469	73.200000	1.070813	73.660000	
0.695506	0.611880	0.008749	1.060322	73.220000	1.073566	73.710000	
0.708384	0.620635	0.009110	1.057569	73.500000	1.069958	73.810000	
0.699977	0.613797	0.008880	1.047505	73.460000	1.060806	73.860000	
0.714913	0.626043	0.009088	1.048269	73.280000	1.061597	73.870000	
0.689127	0.602963	0.008746	1.053049	73.480000	1.067203	73.590000	
0.684375	0.597211	0.008783	1.039867	73.620000	1.050849	73.820000	
0.714038	0.623313	0.009075	1.053080	73.240000	1.062314	73.410000	
0.720286	0.629182	0.009046	1.042329	73.700000	1.049711	73.820000	
0.709455	0.619249	0.008892	1.038600	73.540000	1.049122	73.810000	
0.717684	0.625388	0.009033	1.033835	73.580000	1.048064	73.640000	
0.682575	0.594213	0.008586	1.035048	73.820000	1.050142	73.550000	
0.713479	0.621705	0.008855	1.037312	73.600000	1.048236	73.820000	
0.684046	0.593770	0.008650	1.029617	73.580000	1.038956	73.810000	
0.726410	0.631147	0.009064	1.042574	73.460000	1.052515	73.760000	
0.697814	0.604501	0.008817	1.034986	73.720000	1.042139	73.900000	
0.716326	0.621171	0.008929	1.037336	73.680000	1.044271	73.980000	
0.721055	0.625855	0.008872	1.024609	73.680000	1.033620	74.280000	
0.719278	0.623118	0.008901	1.025905	74.040000	1.033984	74.540000	
0.689868	0.597661	0.008478	1.021171	74.320000	1.028708	74.530000	
0.706297	0.611174	0.008687	1.013241	74.440000	1.029947	74.590000	
0.717033	0.619165	0.008879	1.005493	74.400000	1.020710	74.680000	
0.725102	0.626303	0.008904	1.003214	74.600000	1.020480	74.580000	
0.713748	0.616144	0.008738	1.003380	74.500000	1.025224	74.320000	
0.695604	0.599481	0.008550	1.001228	74.580000	1.021516	74.380000	
0.735499	0.634815	0.008898	1.005617	74.300000	1.023020	74.350000	
0.734789	0.630709	0.009139	0.999880	74.560000	1.015161	74.390000	
0.740059	0.636685	0.009019	0.990444	74.480000	1.000903	74.550000	
0.724501	0.622227	0.008866	0.992310	74.600000	0.998783	74.580000	
0.708213	0.609920	0.008467	0.993789	74.540000	1.000280	74.590000	
0.723906	0.621036	0.008806	0.981245	74.600000	0.990981	74.780000	
0.734799	0.630257	0.008893	0.965758	74.980000	0.975697	74.920000	
0.722076	0.619174	0.008699	0.956424	75.080000	0.969427	75.140000	
0.722900	0.619728	0.008669	0.945692	75.340000	0.962814	75.320000	
0.713921	0.610799	0.008611	0.927107	75.640000	0.940116	75.650000	
0.733772	0.625123	0.009018	0.922605	75.960000	0.937225	75.600000	
0.717521	0.612384	0.008673	0.918249	75.860000	0.931023	75.790000	
0.727241	0.620881	0.008722	0.919123	76.220000	0.931914	75.970000	
0.715297	0.608015	0.008745	0.913090	76.520000	0.925766	75.990000	
0.739997	0.630021	0.008911	0.913722	76.600000	0.927831	75.950000	
0.703232	0.598368	0.008447	0.908390	76.600000	0.921646	76.100000	
0.746352	0.635068	0.008911	0.911023	76.020000	0.927300	75.930000	
0.737882	0.626657	0.008856	0.904675	76.240000	0.917601	75.960000	
0.685215	0.582515	0.008128	0.900913	76.220000	0.913581	76.050000	
0.738942	0.627427	0.008776	0.911368	76.080000	0.924877	75.820000	
0.722854	0.611606	0.008704	0.902855	76.360000	0.914457	76.050000	
0.727005	0.614980	0.008715	0.898566	76.280000	0.914671	76.060000	
0.716989	0.607259	0.008488	0.893900	76.440000	0.911516	76.360000	
0.736953	0.621849	0.008854	0.892020	76.580000	0.909118	76.350000	
0.727054	0.613553	0.008682	0.875048	76.920000	0.895069	76.750000	
0.738115	0.622346	0.008806	0.880590	76.900000	0.900351	76.660000	
0.720988	0.609887	0.008404	0.866023	77.120000	0.883336	76.750000	
0.715909	0.605798	0.008283	0.871390	77.440000	0.889404	76.760000	
0.701917	0.592020	0.008221	0.868210	77.140000	0.888117	76.870000	
0.738021	0.621458	0.008673	0.856431	77.420000	0.879432	76.880000	
